company,title,salary,joburl
Delta,"Associate Data Scientist, Operations Decision Science",$90K - $121K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_19258f16&cb=1672430998601&jobListingId=1008235276749&cpc=6EF74AC2F94C1840&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-386d0933b7df5fac--6NYlbfkN0CRptTFv9-hYxyVkNMc6pJyDxAmnav_8yCIFk2FuSuC1EG2GV-zeLpFj6emCYDDtY6WU9T6VoRI64SIVadtKaF61bzrl_Uq2vAuY3G5oRA7YGF0nMipV9AcZS85c0q-Que2T5nZUgMolsgsPJpBXb6_1x_h5l5yYzKqiEuev_hHmK-PXw65otQFb7PkWQnIrS8__PcrBjvEF8lWxEgaaDIGKvz3ShMUy5rideg_K6rxJWkbi0RQt5LyuRxHdtT23wUfOMv7pH3yQ1Qenuspt4nVNzz1ZR82zQqRLUXzczT3O1Y6ytoLRNZ7snLru6T1PIPuD1E5Cz9n1go2PxjDas1OtT2uzNuxLaF2YAHvFk-e4xFWndgn88HLXYuw1ddOc-Lar6ZiUnEPlderK9NYaJwvv8rre-vS3U3ydwMBsTPbhWS9pwFKf1qbZaZ3V2aovdzMZ1GTe5qUsW4iesLx15qs2nF3836ElcZiWk8pvQWlZP4om4qEyZG_so-X9VlfsbGNGZTwC6AXArsqP8P7V_K-b_nUTX3serGoPUR579WqgyOFT0QpsicoOxcQsKeJx0pjcpsiNMbVfCHEk4RG3vwvD81tM0tMhhvJd2ygLNTmheXR0JFm2T9D5KUbmDRxicKZl10l2Nr5YeO1HHayHth2u9CLkWx2m0uFUnKGOaA73bc9OZPFzIwuAL_8c6cs3G6V3fBqMK3UBykee4wj2vNMHUJlyEoi76TOLvMS6IdI1mVjquOUBuoYug3h0JyFcbokzuFAn2UVT283rynsmI3hqBKYmsmOU-9Yv0EuTZWU_mMXyQ7F0xPUmXJyO2MbBPojBJUlzMZ0ZcpN83q5EGWDCrxMsM5zzVL8cuY9uyoyVY970Pfd_cQqD_6X0UthKSDvyz39d9wYg_VskxmtwurqDrUf6FnGqQos8rCYaF2Mf6cIPQQZ4hIqFBOOUUaYx9iCorLBBgXNLDYesIld2Uj1hXaTQjPLUgxTgrPYAUalPaVvXGPlgEONZfhQzDj-kK0wsiqaoMQrMucGkZIG4LhhFwEJ5sueKEPXGJhMUpsvFhLTt-Wx-bmF5Qo4tN61Yl0Y7cq80K0ccj7OpP-CI0AKHaYQMinxw8d_3T0uiZNNum_QMnm_aqbOcyVO_4AHtBvERK1LZTDOcyEsT25HgeDynIrpwR7sKMnU0TuISg_qZ3eGEE5269GT-g2S7JAhW-n-61ECePvzayR2Cl1cHfTEI0gLalsAUG9woM9X1QfwT9ZqzGlCP9Y8vxLLMNwwJO0gmt_X0lg5p7oaTSUrAOKK43crvyRqZhLLerC3vu5Zt5P_EkPRqP7TtiEOuahefh7CZG0T_UMgQg%3D%3D
SCP Health,Sr. Business Data Analyst,$78K - $108K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_4f2ef76c&cb=1672430998601&jobListingId=1008337004087&cpc=987D8AFE463DF687&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-2983464b06194919--6NYlbfkN0CO3MYlVZAetsW1dllW6xvqY2QmsKHkdIi-K6v359EG70R3lRAEwZLjqvpQ2dxLLI1xoTBmzWZcTCMNNZm2e3YVFPO9niSCXXBhMurkCV98Y_Xm6_1_GZjo9J7Rzg-P8FOkeDPbrrPFmBr72_T6wjqC_ttmw4CdN0NJFJVywl2MqTK42CEtsusobuMmRErFunvJ1NRuuO7WAbX25CO9HOmXWc69Iqe-Lz-XTDy7QCmNkci8ATtqtBhAgbraatWE6oO2pz1YdsctOqzxFTN7wIIaao5jYKcj9j1ZPivISifNacRAro64PgG-LVECCG7nnZKmawD84i3LrGbmeSoEmG-ETQWFca2ZEKZdo43Rj9DZxEqpbrheDh7NuVdf38k4ePmUhEd8Vgme0Zma1eMuvoX6wNmi5auuaInLgfEVlNA2aXt9iOCzyKvWC9w25qVfdYS7kxUlxx6jJto1djyakfOVXqHs7Pew9L6ze0LUiVGx-JAcu8TE6cgegt1imTgcGFYXyrk3R8cXoktbFbCX1TVTuyghCfnTZnHsyESWydjtm-EezVKgGY-uLwEBAxz9cILCoegchMvdb7p8o2bKlttF6axJXkAkJPFiuSp0687QqXXdTVfopgepv5uRUTwUATs%3D
TD Bank,Sr IT Data Analyst (US),$67K - $110K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_bca9b5df&cb=1672430998601&jobListingId=1008258335569&cpc=AE484BB564079092&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-2b521158ceb3ab1d--6NYlbfkN0B7zz2OmW4LKSX5pdXcoiPpS4pY9scnjwFl6mzk96G03JzBfenFjYshLvA3LODEO_VvCrv0HiFLG2K9jTfjrBVtP-XgiqjBESxNnOmVvNIkMlnhxvKB9Z-qpxsXXNLHNJAUL1YtYkW46GYprZJQPQvOgZJFgbNHB23znQU3Cz_u9NaDat2voNXmkW27CZFu9t64pG3Tp5Z1qfu3cWyOEyy5-wYDjlViYbDOXYcZRIwpfkQ-rZOUTRHhuWL50uzertnD0laQzjlQi7-3vJuSa9Rovw0TeYE0tVSH3kHXkS9OVnJ85wkJhIgymtxsk25r33Ae0SB5NLSdJ_3uQFO2nWtr0ok9DRqekPAlsTaUAUtXXiWQ0xw3-CtHzV5XdmUGmf3tBUj5yf-n4BPvlb44HWwsAPosBMWmuTdyCVoHf23_dksVqRFLyvRblvUEQCDNKSnEJyMuYzTGDfnLrgXMLao2CxJXgktS-UfI4KZUL5MF1h9hS7UfsX1LpceufT0SRC5M7xKmVO2QWX5Y4f_zppVaetdF_cStcCci6OeZmV-82egKwixAO-gy8oOrumWjnTV8yLkzehCeZcDwvlIiGDfKG8novnOSNl7KV923hj0pLW1q3_cDTR2IAqkekj42BeR2ZJj6fr7xPfIzNvXR4GTjnOHMzAgCxjdEF_nJOW1EBssSAErC-CDYhxmrSBC00Co%3D
Elevance Health,Senior Healthcare Data Analyst Expert,$80K - $113K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_200d34ac&cb=1672430998601&jobListingId=1008358894591&cpc=F1339989C5CB8906&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-16cd57d5db70943b--6NYlbfkN0CYKz7WkjjIBo9g-UNpfbe8NgwuZiYfRxOZtqzhKycvso8mPj7XFR-UETnff4BZisTxEwBrbTEtMScgzRpnX1JVh6B6Q0YMM7r6FVRustrGBsCC-n6HSFtS-uNBpPuRfV46tDwbv_Z6C4Tb8TYKPHV5TegenIWDM6A4bgNzi9868DZ-kYd-tQtZ_s48L6_k4QPmzXMzb6eFaEhGzxJwfytQiw11rYXAFY5oh7haT3Y46IChrfz3dm2qVgQWb7Sz7u__GS41RSLNb_KD9k0rnrUo7uS2DmYiHtYn9-U2f5RBL-ZtLl2wvFMA0LYjwCI_wVTzEVkbCpo1OomeVgtDGuuKI-BBh202667PW5n95MFqQk-HfM--Cr5yjr-IkSqAfyHvfPdFJ1Q5W5B2quLFOVILRsoAmL68-Yt7MtimujqPD9uq6pk-4nALcuFCwAutML_aehc5mhi_aaBdPYZCIad2Ndpo7pfqQW3WTeb77inVBmTGxJ_PY846JflugrLeK96--nGkJc5slm_ixN9qIVElaHfG-LUGVVzGaHoSUmHntGoEC36yZS3Llp7-AkMZjy2EB2em3w061CmyHp38Tk46nbAhvXfh7zT7DcCMvGosfuJFuSccpGiQbFFs3NimvYQ%3D
Strategic Link Consulting,Data Architect,$86K - $125K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_da43dcbd&cb=1672430998602&jobListingId=1007962299917&cpc=34670CD602BE5E55&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-9803f9ec7be91555--6NYlbfkN0C7j6EbUsYdUxSSn9SnJU9PJsbR723H2N3AClZcL2Sf6LOKqpaaENoE-vt2e9WZY-jlAR-UIgLZqbiUxjKijHVFJIpGTX4eiCpTW7uLuGROiQ3iFsgCZEGzEYnJQwXIVmNQ08qHyHvz7q_IfNUX3ypoW3R2T7vubQOL9J56aAVBfLRRKONLRrOyR59VLGEhZoPL-7aUKOBWu3KLvJvsAUtzCfwsX5sZOdONehGmJatFr0gdmEZQSprgrd0De6Uk_FwtSDsaLGuRo2taBWlhynCh2yJcTSrp2cKZnsOIaeEsfULbQd7ChWHLyYJRhMj2M6XSRr9IH28495AZkbKBqXsbKpFAt49yCzLfknMVJZOpgAGN_eT7_-41KCVpVbJXCFPIHwMR3k9Q3P1SDFjxcACcbm8P6Rghy2onMSTBd__j0RHAec3Tlc330TAJrahv1R1KCBg5K5dNeqF-yGs71uJisnQhRWhUMnOdaF6Zpgd44uaUwrx7zQV7pxBnfYtY17s2MFYwcdldMAARhgVdPXkqZqmXkRgSnZRzxpgEKNb0YtnxMOa3fFJjL8R5L__CCrKD0hpOTvUyAKRWbAYecTkg0jm_HjC9NDLFetO6yR4L1bWo89bgzntmkQ1fZRmzV4NUk7nq4xlHvzk-V9ssCaeL5QswbGGDq_0bKfNQ2jPtZqgP0-pp44LTZwfhMo6UHrPfil4Ln6jZtSKTp3t9hOiZ5VbMREd2WF2gPPQ1VjjSmub4_IS6MH1EK5YaahJdFpQBroRB70qJS7fz-avlo9SPabrzLWmX8iz6y7k-mf6IBnkAZd5QwNvLkuXK8BtaODg%3D
Makro Gaming Studios,Gaming Mathematician,$50K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e3f248e1&cb=1672430998602&jobListingId=1008280552020&cpc=F793441F64F6F721&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-9a490e12e0366784--6NYlbfkN0BxkLIcfe0oqaYINownie861a0BJtkzmJW-WyGv8J0JYJCc2by0HEesWdh3bNAN2v_uRlwAjMQima30HR_vkx_B_ClOu6WjYHdXSEKd6VI8-dn6YmmJ9h232wxTMrSSYzUVgciSZf2f0viAReZ0TjNg3Qm9mmoOYZqtR9l4u_LvO32yrFexvYqQ0HW3nWt91orZ9qp8GOgKAJpmmhFNdi-PXMf-kB_i1y_lgnoC9Pa8JdP3fN25eNpFFa0gQC735pxgQi_SouuTC8voPNjKKoY5X54syXL-L0wX8AJoaFnsUi31w97YKp05lq4bklXxwHJRGI0duaU3mce2dUV3iXvBETL68Fwohf4McrO4BSgs2i9K1plXnWKiyUgf68mYXH-CLkaME7KwNT_nKLpYVw6r52Pfnk7hgFmBkHFjVT-JUOHpf_RhYHKhj2YqBpR975AAmCmnqVG-AMzYEdrXNjrp8R4oWFs31CFt7YhKqz_0T0G3hMqVozJs2a7bCUqMAHecDhXvRUg3HeG_zz1KLcN9uJtByCG9onmr9Ggr_xexOjJaTcQjmcf93P3vgzfoGSL6_PuhTvNyLg%3D%3D
The Lumistella Company,Sr. Data Analyst,$56K - $79K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_670a84f0&cb=1672430998602&jobListingId=1008375711563&cpc=7E69D0A57279CD4B&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-92973eefe0aae4d4--6NYlbfkN0BEpW92YOG37VTfhljEx-fxCECMB1Dc_czrh-mt84bFxS9gl_eNyb6vfa4frp7vlERzOhuvFmpT7btBdKlv0yTXTMU5ZRWxhqqeHjzTWmksGD5BawYV4x7P6RtoLu2gB26081RIP2RFYnQJhcaajntro1Onq28uHqmXw6NY3G7JIwS1XtaW9ZRjHPZqdyGJxI7eQOGadzOeut9JRZzv91jcEZSvtOwKLTk9FVO7HHKCFY-mzf-SOSnrYTe95Nl7_TJOD0-EN6iQw0WDLi5X8hqX7gXzvwGzRXjofmLnivRBNM1YxvZ3QonJZTByK31WEGzyAIjv5uCak0yD9JnzsMHxyEhvUUJh7kKSUXt0LD9z4EIyTU0CpoNnf8h8sX5UNzRAbK0L9qlU7JzMla4hvygAR9tnd-OlA-d-MEnnkU_D9mVXPUQlg8uSutaXKr_F7_enwdAVKYx0RXrUL9RwgNhdPR9_w9SC4L3pB3SHAsLmtT35R0J7Wv6vrOxjlZVJ8uerR5wXMrVZgsqzP8o6-RmDJVbdlkvRD4BZ70x-1B4-jQ%3D%3D
"Chick-fil-A, Inc.",Lead Machine Learning Engineer,$90K - $134K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_0e16cfb2&cb=1672430998602&jobListingId=1008157232769&cpc=ACBF47B84C432121&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-280a4ab8869f10ca--6NYlbfkN0C3eTU8SBA5jW5aGHUxVZdk4tuZc3-0cgkHPGXz4jS-exAHrGUSgmeM-GpsZ4jHV1SCnWWj6v4lgkjPnk6Z7JiG_fl8iFWOGSgoSzELw9fuXBwtBduC4JecuJ06Nq_gg_DVlQ-SDecE5K8m0Y8JEJEzrSjBQmLoiMj61FHYNhDKeLCF2ndVi0-73O8D-iFdJIVintW5-XzSWN7TjTQWQAm8MLQke7ijG-sr1DTn8pk6ZPys7EYXou8Ayl_7RKFdOb43E4ygwALFeI_j5EjEGA8AH3Jcan7u8kjDRx1gS3bi1gTD796M_04DehpnkEZJjRrPHfiAMXiYzF9O_0fWlbyD33x451HfwzkqZxsZgYVzSIDMihIQZxApUqDwZWY3UEN_tP9FbvKul2fepT_wOWH0NfDwYjzbrNbNT89uHQTStBfRYGKir-FW5mJ2CPvxatcVKM3yOrWs6gIUnX9yJqcghVRofA76SpAg4tQPI0nFEzfAcRox2_ssfqk-AzONHyGwcTHkSkuJV9r774sNzgR7oOjm6JCpIcnVPsxSznIX600XnuGvHIOXnOGIrYNMq1MbnhzFc7qZNzSNq-Pk5E4Cj4r89zxt9q1tN3-Icn5aUcvWVjUbN9Du_w0cD65iez7f9r6WHKpxVLIp9BQI2ghUAJCrNJxh7qMrqi9hL-ICRM3G-uhg4PDiPkRDnY1Z1jjvC48GJdC5OC80sGCnkFUn_1dX3uTTKgjWEmh8czt7kirrV53YwURqu59uel4OybXrlG1ICcLoW2_YKgTL454TJ4F6u7bKg6E6eZXxWq96lw%3D%3D
Operation Hope,Data Scientist,$110K - $120K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fa2c59d2&cb=1672430998603&jobListingId=1008197410156&cpc=DE56C24FF6DEC286&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-44148c70c1a0ea67--6NYlbfkN0BLp8K5uYD8shFSsLNQx9vzXpD6u6_0PRo2aNjJZxJb4HXdf4sPZ4I9XmXWlSclbO-AjNSzoAU4pCqIvfibMroledF7tFqE9YfuZOqk-W9rTsnX126w5xHFlRqer4xjIoOxf4fjaJUsdpneaYTs6PbwFhoPidAxW2aBuP05JTlYnTQCYfSVQ8-NyDjVQtTISWb5cVa9dJODVMlfyHebEi9Ysgh0du1lCkFwankUTDGwuctuA6NnSo7f3z2C4SpNbFggCuQQn7GmzLeYmKVp1EgMv84ZMrjd2EOk3fYlq5jgdSFUJpHUdf4M8UcEr_7gpEBJn4j0npz4GT2pdnitL7HnHV1P0am-83txQDzW2fx56aHdszO_Y6gYm89BICeuIS9TpwOCSlPMpVPkaCebmutZVi1OxugToCTjWVJEWNHB1RdN9v8_694_qs9LNFqY3y0FVSIcCTHCA4-jEG5DBCT0synYXHzGfLQLGqd6pIb-3VIiW23fZII6Y8jD3pmzUF7kU0me_k7sF_1faSaXae56xZVMb-GBb0Ua6BmT1sZAIjsz8T7jDPjID7rm58CalLX892aheGd791C2qXeoTKZHydN7pMqYZvBBwN9PmVcCwNrfXW5Cizj2owo12TKma8WKx8ecqxhWrAjFXsm-fQYo-1FAw8SmsdOaZCROjxZy4el-2V_6vR3WMRXWt1k12xKoqxKYUmHCZaOBbEbjP67sY5UJTKTi8rsC7QR6zkyobpNmFAUSAJwBawnIWNhZomTuFs8mmy4C-K2NmzJrD-HcsLhFhxOobtno3qpXOlEI_EkeC170_G7Quzd2Sc6w-rQ%3D
Enhance IT,Junior Data Scientist,$38.00 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4278bf20&cb=1672430998603&jobListingId=1008363723511&cpc=1160948BCBA38B5B&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-f9742d9e0a3d1625--6NYlbfkN0AraZfUMCdnJNjJsWHy6D3Ra_0D6GRfEkfGXZiKyoRK-WBizAR3OwS5U2j_tXUnWeT-XuQQgMoVxbekShFiT-tu1iQK0C7NwLmxdzjADWLyQDBqzJUSLK9AaH6HjFVtAUZjJzQeC8DFTsmCGelgd_JAOP0aNKOI5OscPZSw3fAweccpPG36YPT-nkczU0aBk1XnszRNYCuTPdFfHEO1mSVhtYb8fuxD1KP3-IfjH_8YWsoThBE08BhEW84kyIvVdnBS0SCYVONYHTfEkL-Ixi5tyWxPn83Y0AmDuCntqNfPqCeYHnLCwqZ-vZDMaHH4IhibpZg8XsVOW0JtvMyfdpKkNNVWEziJbS-bFBUhWbmUdNROGLDe9hOrIGFGpoRduLnotnbD5tSd-1iJn-sWlKOdZIjD25bI9RH9ffxOIzPpHp3LppBJaW01YEMtvaTnIFRrvoExHjdnwdvRvgivkuAtcDiWO8VwAVfF9XbT2LdxRQeNqPsPpvRgxx5x4KcvN4oMCwtIEHtI-Ro4bdjHL9o4aqwQP1ZEm3ZD1ADOOose-glzuAtFqB8_GLkxavNq2zzKrWRvAnWc3375lKAgHDdS
