company,title,salary,joburl
RXO,Senior Data Scientist,$96K - $136K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_05f2a820&cb=1672430840540&jobListingId=1008331017546&cpc=A7B4A44948C4CC92&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-f4890e4e1415509f--6NYlbfkN0Cu66TZchO32zTMNvretCRKnChEQgHLzOWsYPBdRI1oBczLMxwr6TtNS5hGIq21u1zy-M9WEbTH2ML1mAIn79iHkVPSNAFybrkfiBiWIVcoIHnv-aqio_-GKXrrVxJNOatfLW_3qGs_B-j0TDeekSiD7oMAG4vpJuJqB94KbSjUNHX2bd704mW8geXZneEY_YHbImeQZxznCsCNlowNjk1jV3hInI1eE3JgzcjnuM69UOdJ7LHXhl2hXt8EfsaqqPqJEC7r_v2cr6u8fvEw-rVAnb85ORdOP5ydSVK7l8d_8_pI4kHiSlJ6NuwilWBzj-sh3tfR5iami0DbFovFdURCWsIjFk1l1MVVhU1jVEf62jRLzeJvqrBU4k3eEXQP1i2Dc7-8T9coodOP7A_g0W_PXOnfh_ojepak3APe_0AkAMQowOP97otxnMIORq3Ps14XwAmy9qIeIxif-3ONT17PZVTdlOsXH5DxtMKquqdXXnrNvjdc1N3n2CGQ0WHvJ0DFfZ59PUYJ4dJmO-bJmx9Mjl_LMwznxXX6-brl0CmjVceOVkWnDTbgeiFQxJqFiwRwNtXUBlQ_QA%3D%3D
Beam Inc.,Data Scientist - Supply Planning,$84K - $119K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&cs=1_caefdbdb&cb=1672430840540&jobListingId=1008258258056&cpc=A356F292FF34F670&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-441d6b1b716470fd--6NYlbfkN0CTUQCEalE6IsD6lHWLXDhiQ7NM-E4e5exIdFEWtle2BNmIBy5eeUoQfmFCMBE80xPR3NSK8gYvpAqO_-WEJamx7YXzsFoEGn9CZM-cVDlRMOY67hmFeKmqrbJ3iY9XEoBKIkkMO8mYfEIi3y0wDqcvwVHyGYz4oCf5UtMAUV15oCENe-VH8EE04IfpFA7cjbB9siDN8oU2z-0XYaxTMYV8HGGLmjZ8I_xwEexXWGPAHL5XWkW4u-ETbelJ3VLb9KaV6FdU-BqE68m379aaNDRsCR02glEFud2D8wpgk1iLnI0KuaTEII3S-e2_BFemvZnG2A769Qf3Nd8goO5hIZiXQ062iRShcVR8m7F6JQWhu1H9YTJTqtThwKo7uLJvZsF3gaiP8NVu_vfZvxz_zjYVhNPJo1tA2BPE5I5_UTeGcwrJO8XOtS2fr8kijCu2uEBIqxirQIm_H_cFNhUsuUOAYwC0WfsjLO5cr7KZX_24ceWyWJILCrAfhf4XUh6t7MP7FcnlfFYLI_CEaVXMuCVG_OmJ9fAXsld0oBTstwVelyRXz6niNTkCzYVEgTIKBhcQRpctwjMGOR1VFg9h8so9P7rRnaRVJiaPQKqIdZx5QVf9i-4iqhdaWanS98_3x35zscXyr4s9dqZMIPyoOM3R8O29OVga0clSJFPjZODa3k-Ps1WDCLlzCe-W_fAbpe47VqfCKsE5WQ%3D%3D
Comcast,"Sr. Research Engineer, Machine Learning",$103K - $142K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&cs=1_f8ca9a70&cb=1672430840540&jobListingId=1008078447534&cpc=8192C26A3A55C10B&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-5829430ccc4a69de--6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZkFBy4Qr63BQsiS8gW3X23qGytuerY26Et1jMKQ3z00T0HTS-3YHBXHhOstS2KgMHUY_Mh920SEbmaeQ1DSfx_KNh_sg9Pdqhm0YOF-jXYQFuXhZUgiwOeEaZ0PvRVJsBx9_8s-CuThhb8GVHDGxWuBre_a38dh01IzT80t7tEs5pxabjC9ZXi_ujX6mm6FHMxchQ_bN1taRbvUL-ePaEj3sIVfX-KqxuAuHi0XKBLnqpf_YkXDhqDMMQ_HpZvCSynPYUT028jenjeKLbgUEh18XgV2GmYkFBaxhsA93tYYYOO5ikja2QvcwZP6DMcL2_Rtz90-sMqVz2EMpCTEYalVwmOCtG2dVb59dedVFocyfJAUFt7a7hlgVPSK2cY59b985vEPH7JePqCio4EsUsRDoK9qQvzO4nWb0eVsmIDvcLjdo1gZPW-7ndYy0mGtXcHynP1TdAfaeraGFkckxFr2JmIJ1noXvkfBVToqyp-RlWaJGWmPXXytY0SJksAG3nQ27ln36MAp2MbmXah1QeTcupXdbcyiK2epp1N8AWczabrjLtWnSlWUtkXKNu5yv85epRAM_nRRkI8GlrDYy39BU6a5SLOn89r0-LhVGbCtt7tsUA6JZ56J9X3EqqtMY1rmMEFZYrI9TLekB4KqWfHX7i3Cwwe4Gb2VQ-2vPTkyNs8qhD8kIkxv2hCaqV7_6d5bq6PrersZ9zRJDM2HwFpdVI1jSxAhIUD3daGp9jiRRFmwPxjhDwXKbeYa9QCsAg9u8K4BZP8ji7rJhtAhYhnlKoNDs3uGOrEIF23W2jprXoyz_74w00qQZS7KOBz1-kn4t03IBi9V1a2kIAKxLAQJKSXlQh01tgIl-G8GXf16Q6cBvADcF3teF6RR6hrcMdcY_7N84XdwmPinbl7yxt6heC6jWsYlv6n8iaOcrmPNsGhNE0qi_bDcnI3T8Puw0oRHT_hGLS4UkwVW5oZytM80LK5wALGz0uJc-Shs_rfQo-Dyj97B3dLPZQCPVCXHFxSeNY4-AZm_3RMb7iOblzT0u-046dKIebt7wR-mkiL2QNP3mHfzZh_z9ZZm5uTD3MIa9n0P3YfLGQqO9g6h3VN2yw0qQLOFMt24Dl-NT9XL3kUcJUgiegAJLudb1RtpM2mKgcTyeZKzKOVEWYIqhB1BVlSIVL9bbOk-d6kOgs1-ShcsMlquwbUYu_ukfSfQ-AOehqdRv5TIB
Capital One,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&cs=1_7d0b2cf5&cb=1672430840541&jobListingId=1008378287620&cpc=83630893E902B957&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-d7273231283f94a7--6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27UEZOmZYCHQhiOaB1b4eehLht4AkNlJJTjSGBhd9tKRBufyQX4nKov_p9lEBS3wuvqjE5nuDLL0ohQjIq7d7Q85OI6Ej1h1cuFZNdr7ZfbA2NRrR1Lw6Q2QN-dkTc39uy0T1u6Wmf4uWFnHEntHpT201Wo5XxOBZ88lTxKlby_BZH4KbmlGWtSabNt_tZJY9N801xXejDnoGTmzviL9V8jdHl-nDKV0UN0mVNQNG7cKnmDEJnkj4r89gJzFML9d8UrvIIR_p2yvOEfxDUsinuKA0s8i-g2c4W5Z6dI-UUuzPGTIaQvQ23stNsVAU0VAFQCSd7gXJ3CCoAkUDM9jYqKstUqI5F7pod_tjOgQWeAkjnL4LCyAjYdxg_xmQgD_UzS9KjthwztbrNTKz4eK6uY86xmtX9rwhuuN8XEntG_1WE5aaQ7jlq2V_d3u6t5_nu8%3D
Wellbe Senior Medical,Data Scientist,,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e0777ba8&cb=1672430840541&jobListingId=1008154152723&cpc=C891152315FA1AD8&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-c18fe86b5361fabf--6NYlbfkN0CVcPlShzQJGVkUOPXlzKYAslRR0drWGljOoTpMTn4gZ6TzAXPFcCf00gu2fMYWGsuza7Hl5RFle4o47GQ0S9mEPg7ZkLxNx6FI5SrrJnQI8b3Go2A93xFAusqibBA3xVreACxTJsK0zmr7jscoYFN6pSYsLyvLr59jTUAqciBegO-6qd6hkdS0WWuV8dAW1xGirNDpHjSf-ZFrWTvAoDtE0CzjPViIG_URjr7XBUJCK77HEdqCcKTjbh1_Dq4bDKRdvA_P7_7lS5ntlffuwrf-C0NQUhpAkZ9p7WHir9n2TUb8BgzDAmRhc-_XtugOGBA-A52Qwjnm3K-r5cspLTcFa-eAJr2TfAD45VqTyQrCLW4Y33SJcpfCosmJeq4-yWpYiQsPhlLlLZ09UbKL3RHjEO-gUwsOKUeW2imaV2HUwWOUb_DwRR6EjttkhB5BXcTaIb6P4E-s7gNNUtlBsrgZ274ByMGRXSP7p0TE3rSh8uaEZhZKBc6SsKF7BCS1q1lrvozR4ephwW_Wwn4mCCas6bgja5ujlTSW0EhVVpGVL-TaOWV_2tf7PrKo0u73gueum1qP_UY2zrQyV2lPuKCLbs-dQmR6MvONIOccAJyGWGBC3JMKt09bQ1wrOpQFtmvNpeqdc3AI7YbqXSXd1FH_8EJJS2xoIrbYVYgXHTvd98JlUuJLPFu_5E12Idgr6UjwBDMRbN3x4DVW9ETQGR5OkzwQap-WedIqiwENI5w2bzggikTEttMEqAr5HUW022A4kySHVIH99-OxFnmU9lnSh4NBw35AU6Hx3N1_OiVTjtS-QNJfFfFNqQKBEjuNFI6LpH0gRPxN6fEJeFSmDWEs9WFK6jO9x-BxD3t4DgWatzHjljUPwy7-ThdEoo5fINM8jY6YS5mW5GXp-YS400ZuAypgp01KSoUqMHrV-ch6D0Vu5cxVAgw1tmOO72mHO6RU2hLN5ozwNObDM76eQj8sZjgu9H-xuYl13yCbK74_IE3yOFjSViF2AdxwmS8eqUVERh-iaOa5WTwPgLGbheJ3OGjGOzXaM-t-FY48O76rd2rtJ2qBrBfW1yGSmoVZE6xLzD9scuwuVoLPpxP4V-RliGWvPEiCG2l47yYEcOYr9NNTtNWPu_yttGv7JKIcoF6r5GY0uq2McrI-yHStsWaD
NOCD Inc.,Senior Lead Healthcare Data Analyst,$105K - $130K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7b3428d0&cb=1672430840541&jobListingId=1008311289917&cpc=6BF42D0955AE9A34&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-f962a91aef483d39--6NYlbfkN0CKDAR2c82Cr4Nib2sJOC2ZKjfrEjK32Uch4bsV0ogveKJvC4qH92t4kYBx12RTT8-kbLcjVPfjeXkYC4lPobSEIkanekE0PBk9rpFNP0olK7QtLS5mUJ3YdnAO8-O4VGYQPi_z5bM8X1zDOCtlbLrv01jirgiNa_KPZhS0INsm6SuI5dk-sa0voJE7Z03KGLRixEn8Hq_idx70xCys1D5_EPvanctC_Bq3u16GCWpyCHZ8sbYSqYpY3vP_h8M1xyKdQTWz7oqXudEA6xV22Gfy4gkwgicI0I9VxR8ZgKeWUPOmRmXVxEKGC8HKGAN213td-8VXZewNEizOVH-2d6N18wC7yt5YMPIcX1xJQC5-PKEODBD37TO6w25R0dRF4lsk4VhSr81tDAlmRRIVC0sPiPLK-dnMh31gNlKP6v_C4T0ky_hvvLOjWrc5-gKO4AAuXxkEyUF2yUpc-1BmKj9KV1qvEX4-MBbdYY8d6_J7GVlKMkVrve0hvLjS6JuAoke1aPeprrqGl4zjxDOZBeRDXif_voGfLB6L6QLHuwout6SL9i_oguaxCQu5WDwhxIcfnmdL-EnKV4IxEfwiChoZxwTLSujbaIk%3D
Deloitte,Data Science Program Manager - S&A Strategy,$94K - $135K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&cs=1_e3bb467e&cb=1672430840541&jobListingId=1008208629725&cpc=D69957E0862862E0&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-1d654101abf7aa9d--6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVDfaQG1drDM51kP4jeMpFc-wN3lBhPxVlJaUYsNeKIfD_vT4HcqD5AOLi-uik8pjmrTjWiqUb2Hj3g_Hh4_szerruyYnLies24BkHeD_0_ZYjwlsp0d4rW8oxsa1YjjSZ9jI6Qb1zW_sR0XA-HxF0xPnwM8hFBrq9jlqI4kYhG_tahASPW4mn046V2agshMckQoCU1jv8mD3TmkhoNYnRotHdX8TQA9buyyouSXY6w4QsoOAdqxJsOr4yVPjZjlGmdPxnDaqtCI6ucIIf_vXZnaLbAHHR__CosKJ3I81_MIaa7WS4Xi3D7i84lPdRiL2ssTiiXgRqa_dvaQ8zvNGxU5A9GRJaDq9Q9fPQptWFF0GPm3dvFKKA5isLkjT6VDSv4wTEyQes48jFNBRe70A_Cs37ZYupiqRiq3VD6F1PAwzQY_p7L9J9bYhocQpok6T8yN4HjIP51T0X5xza6Oq8xTqpZuNEXT0B9R6i4ST_udUvq0HrcFAy8KTTMU9jLGc3ZsG1urDXyCk4I9J4wpBlOSdeLmfHqbbvXldcv8lHS2O5YP-FqoBovy7uCkpOFVSAw%3D%3D
CDW,"Sr. Manager, Data Science and Analytics",,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&cs=1_9b0e7ef9&cb=1672430840541&jobListingId=1008285012914&cpc=82B3195DA92CAF92&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-50d4954a74c56199--6NYlbfkN0AhZm2ZuLA7cmwin_7eW6cY5qP7ukPjnqFHXkm1w3uxmifedBnI-EOULolJuyAvAudOQ8MLX5PepPsPViHG5iGK1kKk_iTOjXUfFeOMxtGUH04PS-0mez0iU5v8MtjVLXsQBHLJm1usjIb7xb_dOldrZkIybWHqmsoUOs2QIVhV6T1kYNNj0lerRG1gYmb7bDIBrzAieiPSSlqnjhSUJZPsPdQOdW2yvC-FX7787hZdVKKhFWhXhZmZaUnXx6rX5QXn55YlJLSL5sgHAap8mC5MLHyxlYXyQweiEIOtnLRu9xgYOwxg6mXxNgTkEDorQN4C8DagcyT3O_qnfZ5RvVGMYSGHyufEqmd0OAY0PIR2SmCprl5WYB8-obTTCznYtg__9rvUUZL21ug-6OZFv8FUjDsS1aVQUVXAgdS9-hFgIHMAfUxqJcx71EScLdwzOfbx_cM5THX2bbpqYBPkG0v6ox4KEUbZNOwRHbNAwP5oy_zAtKQnQKpFB5ycpxSSDxwAk_fNMBeNYCtfy-gDTs_jAfdDT7y07V8mla7Ta2Pke3SggC5_C22X-bDL0qHyN6OaaN6RiSdI6ylSoI0x_8Pv3AUTh0W9E07Bomg-55Pze3ZZXs4s6CONDNus_Kyq84SLrIayP_khk2QyyvXaKTXOESydBDWW-Q9O77nAH7rAgavQd-zy57fXI5DImbPx9A7pIEPRcur2rvsG4m4SR4uk_KhxhSffL3NJ3mJFnogPuDlbVPhPMYWsZGiVfbeqxq-OOCoz18iEADI0N7oTQGHf8DxOessYePwP6Eq78HAZTiTjQWeRZo1niqA1Deo4hsbEWbzJ2D6Nryc6skby4KIG4pb76JXEsn9hhPqkAvQq0PRQNIp1PW8BY_fODgKqo2cm-85S99Gr9tCCafc4dhv8lkRUTO2K0LKtwfmR3g6UIDDFpsmApUe8jMnt8lo0T3S2ByA_YhO20FGwS9X_fKTFZF_DU-9r78iAumXrn1ZHEyd6wbiwm5vJo0x1KPBJaRReAjgLJO4LUrNYxlYrSEZprZ8-XH2k5nz6Tg9ZC12Jpad-unOwGKRUEDXmkzRV7JprcOn1GQYgiuSjc8rUgFfs
Medline Industries Inc,Data Engineer - Hybrid,$86K - $126K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c420e112&cb=1672430840541&jobListingId=1008358668479&cpc=47CFDC01B3F81FAC&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-bd4d88df0efb6d46--6NYlbfkN0Bz4d8-JYNZmSFLM74iH1x_mqsTpi38VaCRl9pnXanWb0PDPnlZ_CfcJXi1BvMtctgPcRQLvlR--8Ty6DguaT8ZYOX31pBCnAZyKyyVUfZGFCUHHnjuXKAV1DZUZhZyfmb2agh877cpCNMJ9qfxt3FxGDJTpU6vn93BiV13ED7_MGkZNbF6CcRY2e3tlFEUalwvhi0KNOEquHHa4QlQP64UOXWVIU9--BdTs6SamHJFRAr9GRWCb04OOFDB-UVeQbFt96EbA3LrrfSh_oHQGvZxd6VQ2zNjaHnHgO-690g3DIOUAbsLHkRaMiwS1VKQglJQfSL9YgrixfqoA8JVqUiLpIrWzq04-VKCZeC_vLbIFDv9aUAUEtuxXuJXQP8cHqlaOoMB8HNeXeIHbLhpEetXbLiOBl70iFuzl16YUJFpFT7X0vN0GXUTbWOXD1LIWedw4w3o5pC-q9ZkHaOfD4NOa-vYnJSTgGaSCzSzU81sXybRuq1_QiRgqOC5eV-DbMTAYQj5wFhB_j_cOVBO6S_bESXin9tt7uUk8b9plqPiEBnLt7VsoG6vphg-kKJYRS8%3D
Gables Search Group,"Manager, Data Science",$125K - $175K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018564a5699bb0424fdcf6a04bb0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7bd9b384&cb=1672430840542&jobListingId=1008192513981&cpc=1160948BCBA38B5B&jrtk=3-0-1gliaaqe6kbkr801-1gliaaqelg4cv800-71fe2bf978d81d49--6NYlbfkN0CZ1lEuAv6jxF-3oHFcpaf0lR-C2BPOLpDOrJR7xrRNgVUCVNy30M80NEN6Thl85oxQ27QvqW7gmbRXrbBnmsn1ah-F0SLsJMpk6IQgcB-qQpdEKuh9bGT-Ui6nn-DY_4NFK9G4jXLYePhY4rbXgaHnzF2Hp3_7plAh8j2GqlmVMaeqjjuTWpoD7xQJ-On5XBFBw5RjeVAH90WYXkKV3oepaIPpiVeba_jWLryVN0C4K-5vaWMjiTxaZAeZKyKBU17_qVf3dT6KKkINzeHGk-imRuY54Gj4ChbBUmHRPbMCmnnGyKUKSx1rbvT62M0kgfQ4d8EPhju_ps2KCiTEp3zIUwSoWKaAvJEEEeIJnxzhPcIVmSjircBY_UPzwey4auRVhsl9NW-QCE7nt7flIqRz5fqYHMFk9Bd0j79JMVy_drXzEmXgJiVsJCK7K2eroTObQV0PYVLWuqWtHhBVFQulwrRQXpJqtX7mvhDCTr-8xdBTnzPA1lLeRQz0ZKk6aVzpBF5TGvK9-Xqrabqzp_DsYXg_aYec-1hO_DdT5fl0MQsp4V2Zb6fl9_dJp9I4qN8s2aiBlky57TCJVNOEEDPfHj8yhwyWNmvkY38Om_5Q6vSNAUICfa4S
