company,title,salary,joburl
Takeda Pharmaceutical,Information Technology Business Process Expert – Data & Analytics,$88K - $121K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&cs=1_40d81b50&cb=1672429254255&jobListingId=1008371195975&cpc=2C031D2D3FF29DE7&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-775d9ff24e6c13a8--6NYlbfkN0Dpk2nRRB2qCzcWtelMs6RnOpE2QQykp_Gr47Tac0r5hDEdwdkk2Ow7twNJrlx9aOfkw5R7Y88VMcX7BBgZ4fJKS-CsDaHdP5WbWIIGfHOGAra7BqiTTycoR56ceMDOl8fWFwINL3rOaJS-luKCc8HD6WCbBRt-vTYPCVBMcOIAU3XJCUhe7NBKbOyMm1dPAZ79CoiKLAXB51cybXnE26v5CYav0ViFYZJUThFNd31dsV8K1nRlFdcNAKhL-dk2kPKUMOePkdocIn4ERtyQ4tBjFy0i9yLAApkuZeJX_5Naw6Hjtlui_CJzz317EP1iObda9_KfYzrPT2oWnm6t-CXlVbtxPDSQ6LtQqqwlq3YnWfPEvs7-3vthFbCz9tgyQCAubDG7q-0r6U8h-IXDdel61UxsQ1dSRXzUjppb5rWVP3cY-RHnLkLQms7AHHlT9SewJ3m9pw7IwWzx6mxnRCBG5ELxR2Y31VGddjT3w1RmMVT0JMcVRU5kRifwPfNzwGI%3D
Watertown Savings Bank,Business Systems Analyst,$70K - $99K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8118df21&cb=1672429254255&jobListingId=1008163071332&cpc=F929909D2225707A&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-5958b4e491e7764c--6NYlbfkN0B41Y1d1QqSHrnBjfYk2ayHWohcpXL5FkjGsE1rxVKEOTSEno2PVkK9quijKoSM17PlKVmzthhhkBvaAyQxTKwWQnZAezLzq6J1qa9jH-b3nBGCt1_W7K7YVJu3cs_BxFae0z86kwAlAzSd0AZp6tk7hCnz1i_bBM79XuEASYVl6x8b0O49qPiZeZNUwDPutobphyjrTee6V4Un2GoS3dspuE14z7PvE6tNq2VZE5sdX6MPRKac7Y02La-JttSAM0TSbOhYW7p8TNVhh8vhwb6K9k2Qu_r22YU-X8p5GTOwM7O40howQlxuIgHZprlrlyDEYyi1t0MYcfgywfFo8gIOZ-qrir9mZDj0MnIP4JOITufs9FsncuNcK6TRjLBM9BsIpr_z7QZUshZZOkdJnIT-dbp52T5NPdgU1SB4Kw9bGZtQCO3dowFNPY12Nm-ZCczSErvQldKvtFRUvf81PCy5zqGqi_d9XxZqOnJ58h54xZJO5iUUkFM5qzy0baQk3wOSOoc-8RTwC6f2utuZ8GWaJEkbxn81N0WJ59kyxCCR1r3GyKr6ssLZVuhggzFpsXzMiwxQSE8YmQ%3D%3D
KNF&T Staffing Resources,Reference Data Analyst,$25.00 - $40.00 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&cs=1_24735e10&cb=1672429254255&jobListingId=1008314363150&cpc=FD56AAAF1899B499&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-c781ccdcfee7c2bd--6NYlbfkN0Avftd6jsqiWrKyZssmiLKhk4_EZe-NnSIBQVtPsReCG1ww-Ekrjl6CxZfc3qhyCHf37TAq0axBTaCn4NYfExTkOTbQKB8gh2KdWzIgqXwjPneBVbcOIhoO-eVS9owiown4MU0MS97bX1DuzAR5694alRUwKnzDCfZzFGIaGhiIhj2hFTauo7JYtzkA2xEQ_UHNUglnHcZO0k9GHMYzXuC-CVzYf1lVSXTjjswN9M1odzdwuJoh-5FNxjrmCzZodD-2qDX2LS0lqHo7HCeP1i_Zrg2SePp9SzqgCxAqep7sRdKHS1GJbZWwAxO6hxXxNB8Nms8jAENdJHqHcVgwJQxMlBXFtxTHb1CVio3tm_xj3RpInPMzoTH8yNqAgP-9PJlGp71P9F05uu09f5GlfYp6GvR0IbPEJ6XANGuSPf3C8FcNt3ShxwofqoJ7BLfCHDwlziQw1V1bvrsCLQVQe4ZmxnoFezh-4slLy6Z3LB027-3z4jCCUO6V-Klw-SmdFbQPxxhqTQfVGGoBGxRA_dslkhppL81bVeqVig5Sc3I09sjR6tezs5FcdfGmelbMHYkV7F1OohyqgxC24ZhpXR7euxaMn7OlCKPw9rzJ-jqdhwQKVkUg8HJA
Vertex Pharmaceuticals,Manufacturing Data and Analytics Architect,$96K - $136K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&cs=1_330230a3&cb=1672429254256&jobListingId=1008028732114&cpc=7C0AF3FAC6523A09&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-d7d365643c972386--6NYlbfkN0DLSkztd4vtTiXJqeHSV6FQdAfV6v4UgVauYgd-fEjIK9vgcbQLiicNh0XO6ydT1lwgBA8akijGo_Nn8PeqE2zhc8qyEpR4RwFgfT8VOPV0miXnZo8hZCtUCNI0kaiQvgWWtidrMSYRK6siHIlrrPvtsF-zxdaTM04s74Aaff4GqclGImforOZ99KUHQUrbX2QYRzR-Y9GgCUKwxXqsJoi6RjOXVOb7ter64VRNx6V-HDHMvrBiIS0a7pKRIKM0XRPNGSbRVaJNn-2IqA5nYqXa5w_mv-j5pYZoJ5USx85_YGY_YKXXwVwsGFfOzhdGfEIYwWkYo5hN8m51UUwScpo05ZUs-xlJuf8c8zKqG5UA2zI5IwD5rTyyxC07lP2vBiSx4wYdWDZUwBULV4Vw-7BZ3MFjQhf0MTJmECmlrFXL6hR-3rge8ifC_6LghLpFXyBqzZ0vh6Es4ogPG8DzVUsFTYaYGQ9id41yCytjJbux_9KVKiUYEvHbYY-e7Ph5Mm3tw_bm9fw217jlymNODvtLB9iLK_nWpTGTPHiJLsf_TDNiQXzG0bl0ha1UVhTuWsAUxHzMKXhO-zIIpz2SjNTTPWsChzjNfafWclSsh1i6dYGPyIvr1w0cAzKJ_y7XXQsmzgA_YuqkC2yH71-FSZT9vsyQsevlXasytlFfe2vFYjPF97-YLDwMGvVzdHSSF1lEXVN5oZFc6g%3D%3D
Commonwealth Health Insurance Connector Authority,Senior Financial Analyst,$83K - $87K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a17244e0&cb=1672429254256&jobListingId=1008272127453&cpc=5AD91290C07BA34D&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-dae6aba1226afaab--6NYlbfkN0AMWPlbxNqfE-6wV12AdXHMKWb6IxpEdYYO4Swc8MwusQx0dQ1NjjvppDYbn3J9vybcyVRhEVcs9BAnpBtTvh_I163QG-ce0J77y8JVsihvGlcyb_foZU_FEGKgzvSGq-dmtTRmNgXrC29HWQXiUVLHrVn-BPVCkxqg7VtWpaJWdJ9NdAuwfA_CqmZRXgxH_xEf-Y1a_A2EtVPuQkglNI6vFewDipu5f3-WzZe_nTEXe2jFbrt2NicWJYpF8m_fQBbmLo7b3bEwzoGQyG6lTvOftYMDC_3G312tD2l-ApSgSjKuO7uilKTY-2QK3BKheRhD5Z25cssTuj2PSHB7qIWnaYt61w_EDazPDbOUiKeAwkPWFWlfgS9ol3Jol8OU3gYgbw3P9E4pBQULkbXPYzPhObzajmix8lLdxLy-eD_3CtCvSiY80X86IztbakBHYECsiJgbBt9EozoDL8UxQj0uv4lGSqWAd675nJUBPS6oNTZHxdr1OFQVM8GI0H0UBLwdIJ02ps_rVNmGy00qD1k2SD5QxVtVh-bZdmBEBDahLmTaJ1tg3aLXu6qMubCw2S_B9YLGBLMNFg%3D%3D
TriMark USA,Senior Business Analyst - Infor,$88K - $125K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e96b317b&cb=1672429254257&jobListingId=1008377212642&cpc=CA5E2B5B7F82281C&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-13b59b7dfe2d724a--6NYlbfkN0CQY2tD94KLkahE5TnBjrmLhCHYUPcYwDi4JNotqGx4oVbkekjCkrjNM2vW0qEqLzSrYu1RNHY5xzOuLNnK8I-v93qLKSoF0fD-8jGQNlFG5_nqeLzQhU3avOcxB5ozYbhAqAhjPcRPhG2M2MPulGTVOSISEiSKLYvFJR7jMnFNXprZQbFYjC0XgJqsC2JssArk-EZ9eHIYJrMl9wC_wf-pbyZ8XthBqVYn-f55-fW_MDftktvars931lArQLI_xhMRePqyhGXs5zqQVnxT5qQL3OQWEm2bwnoZgdJ5CZIXiASOyksA5nMdj_dF04XF9ksi1neCOlmDIuSkyJTmSlhbddhEdK9RPfg_0LEN9eWNKLs_ncNecQSmVIqcY7je-DcDN1fqbmlQswNgnxDhPX0KPYR5BwM9SQqcoRLI8dVHnMaP3ac-caUfr8LNjkKdVXBNJsoBzFemwP1WidZVeLdfp0r31Xwu8mBDM6gWmN847Z5wpiXBXZssLzeiLpBLGAJT-WsFsmoef6hPSMhPwGwoaaw9zISdG7SXwUsHc1NRizzoS0CllPw_ox6udbCVDoUNXklVgRzy6UL04zOmwhjq
MassMutual,Business Intelligence - Data Analyst,$94K - $128K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&cs=1_a915a5ba&cb=1672429254256&jobListingId=1008291257988&cpc=5FEB1BEB8E14EF52&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-d0ef450aff08ba48--6NYlbfkN0DFj9gZGkD6hIivC3Rng2xuqJZ3rncW-JAanE8wdiO15uWtF2BH69ePVayfcn1bRK2MMN0KoucX0KEZ5NuWBklvadhOuMScKD4DmgWNRcl18mygnQGDVKzEKWe6JkrSLTw3vabqN6_vOJiM-gvjNpJ-kAaqmRBDva2u9PeCGoQztY4b-GQ-U6Pd-ZCTbMOBViLEGcO_ba-2GawkxzKwgFl2F4vdUa3gkFIWM60IXtxS5Po6_kpt7Tbij9chwwaOUMsGIbL5ohBbrYHKdVejIoUDpD1kgucszK5uuVcKRqQZasSEjLn8vZN8HHrZNL1FqGBByzvb3mF3RrIc1nsorfmp25YoBTrj5GP0HNfj209zqRhEY1bV0vHtgRDXi-nNMi8jlzGLZ0STf02ZAE-4A69ne5wzej3peQ4HCJxqK69-erfzVia0jDQ9in9tftIujd7nYJNkwVr1YBkaruPfHcXmyEL8pRTqeLF9mpS8F9aBjCDe9_x4IC7-GFdI4N-SWz7hC7ngRFFlXsq5jO-90E05
Cambridge Health Alliance,"Project Manager, Business Analytics",$82K - $113K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&cs=1_74d79981&cb=1672429254257&jobListingId=1008265259458&cpc=A8EA696C92E7776B&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-7e36127105a32936--6NYlbfkN0DKlO8cBODf1b9kWdGHF9OY032j8mWFGeP2xX8u87s6a6HgVu4k8Z_CaR8WLugDNA_FF7Th7dMJ7Iy054xuk8xy0C_IqCi8HJv_Zr-S0heg5TwuazVRC_-FYvclPGhdV57bnDvnIhXwYHc_xeLtRvgNAy4THV0g5qp9DtC2S1qRKxVQCUW7XOTXz-7YuhbJ-wImv2nTrD6gwu-TgArb6g7eE6VYd8A6y5bs0Osj1Z_WY0tywECx1Rs4Wjx_cyA7Nr9AHHb9Y5fbuQzzuk4i1TkXk35l7N9fN8sf7TD1oshX-1kNBBG2QYCql0RS00lHQfgWVSO1P5jKfiVZ3qIig1uR91nfEKMK303nESNCXVGKG8MkQlSIVxycnpVb_83MjZ3DI0OpHsJDa035Mc1Zh9voWqxPC8CP6KqIzX2YzE3VvBCbrCAcIdBdkGcknNodxGtengDtIUSjKnbS8OfppxPl9VxC_ZBNuQ9PWt1MDPMdzil1i3NJgnrsmVHiRpxyZ0pyezQy-djThVgRx6M5NLj_n035vFSUhhlvgx5Dni2IomOY2uvE0r3BXug9YMVoLrRE8md7SiM5_mrq7YRqDxMTZkkvsRu43uw%3D
Massachusetts Bay Transportation Authority,Senior Budget Analyst,$68K - $94K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&cs=1_3a5bba55&cb=1672429254257&jobListingId=1008199369641&cpc=5075878B7C32FFAE&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-6070d5284275cc74--6NYlbfkN0A-LFksdIElsylB-NI0jgOpR8gOW-e-LC5E72O8PMDfaMMLOi8I_l096gdmR_6wYfX8-Om-k1Srnkzkb5KpQYrQG-SKMpJphRrjLQoz5tiW0_eqUOArBkTOEu_QFpIGLWLIx5MvfMzRUI4erZseRddwTkvOw0He3x4EpfNBxeGMV5ZV-eeL9y6b1hjjm4rwFaR63QuNAWOqKuQ1_aLuOZYdmEJ6Ff6_qEo4MaudCC-xJgAHx_wlzjjPJlDXdVsTaOa8LyfZjs2im6E6ymGxCWBol-jz8iyrhriJkPc3FpF0jdPJLlK_YA0YzpPXJq8iUlWYbL0EvAX2c3eOH-yKMktCJitTVnz7F0csMUUw46JEKFG9Y2EY1f9m_ezKW_QU-4Sg0OJk5nkIzISPVWTGtHQA7FsLvEj8zkrW_-j8daSfxbdJcBK6KqTep1mPgfoCswltW1A29kwBm6woEdLsZEhjhzTmlh_lGghGXwb3L8l9QX7QpQdILd6uFKQdyz0Cve-FxEj4yLZEmEKBg0H4_UIcC4KPeGX466Xmc6wW6OFo1lo4WUBWEk4K6e8P2itZ79-DjH3NF6bo6mQWHNrotFR2
"CGI Group, Inc.",LAB Business Analyst,$70K - $93K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000185648d34da8fabb7829e3f50b2&src=GD_JOB_AD&t=SR&vt=w&cs=1_948bda02&cb=1672429254257&jobListingId=1008349856687&cpc=01657B10174A43CF&jrtk=3-0-1gli8qd8djiic801-1gli8qd91h7gj800-09e931f1a5daacb9--6NYlbfkN0CmPt6JXytAhZscz-5ZOP53MMQ49Xi4hmwETo1lvmuAlYpjNsrTGyK5zdjJWM_RB9grj_thavS0BxdCMGQ_lsRcjB5vLYqMIedaj6n-CC0u9zuQ8qcj9lw3DiXZxi3459R8iGzE4WSH4J8B0Z_JRhdiSBl7m5ckgcNXtd63u4Fl-XrlVwdxOWweOaH5bbs-AqbMwMrDSMqZ9U8d_82sMdDFw0I503RUEwbeW14DKvZJj25NhW98oQ4wqbM7_pi7sCvIVLd5t8awYvEH7Zs-LjpPcxMqKhz9Hna-oXOFgApTu9AUBQMO_1Mhsg-3qt9nV1FtgnG3raTwRejlbI-mRgLXsLI7lAUrfxni3d_iTWit0k8P1Pi0iM7TDHVIcppW6OSQlzxjXSa3i9dYx6rtOGX2MtoSXZPFbpPPWOo4-FVD0TeosBTROCVgPpNXY80v18NQjJmnUGZGVTieNMyFHcosjqmTx9fiRVGe51lwRCWKY8Bkhqa_5kynNUC8_XDbUPd112InAxvOmTRr3O14UGXh-j1a6mRHJ__UJVv-U0fn1-3VJubOUdk6frQGIW2k6VgLw4-d2gQbo3SCP5s_bNMRWLTqxNj8zBruq2YY0rJklg%3D%3D
