company,title,salary,joburl
Promotion In Motion Inc,Business Systems Analyst,$64K - $95K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ba9fab4b&cb=1672429393283&jobListingId=1007852664661&cpc=1926746423AECDED&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-2349f7e830cec868--6NYlbfkN0DRw19DhQjI6sD_qeXyqD17LofsX-DkZitjWxzuEqLfP2YO-8-IMezOEs_tDiDP_hPe8APvfrEcqrn7hFXQKoOWoYxMqCdGW0vHXMX1Uq4lHuhW3Q7KCczOsCwM6hdRfgUDpDmV5t1DvLmA_tKzZ13Mj7wnThffiKXmma4JiL7uL34zndBfaEklaE-cXw97w1BE_SF_kBKtknhNn04q0oe7eFtjQY2HS0UQzJzDwDPPN32YUHXUAoZvrkk79E_gbcIM6QN2gFIr5tPOTxRJylZQE9F_8jTIuaV5TkoENhLOFH5u_z233UQoY4z9Ut1y6B6D7x-vGOkOB4sCaw29ezC13dA3RuQM75nrWY4s8oWOTNo_UjtrWP1obJblAI-vX-r9Pjg5Om2r5RvSwjMxvaEaOxbykhRRiDHjb--ee3EQXdeq6JnBqGNeL8zyBpW4E9mrNVyREQpFxWVeUkfqEb8xG6Pgn_BzSuIllob2NNcgWFbvthOUAaw7Q5q9nTWlHWEAJglruqDfkj9_B4eoWxOr49oan6qzs27hU3e1aDm1DUTaunomikKXKJyqDQBqLBLeJ_FkYdpV_b38e9-D35YDUJs1i2QzTtAsHizLzTk1Hj585N5oqvvEbyNBXw1xByjN7pw7cpQJQ-YfDSTXdYJPUXdmbRlaXyd3t24YnmdyJwUg-yoYmzKT0JKOCW9juWtl_U7jwDHA54PkyhPhBzEm1WDl3mYUjfs%3D
Greyston Foundation,Senior Financial Analyst,$70K - $110K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4a88431c&cb=1672429393283&jobListingId=1008068688149&cpc=0A5953EA3E9CE03C&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-eb90a411c0994b8c--6NYlbfkN0Bw64rA2klmJDJ8kFc7wfYxnFU3jnDE4rCNvwyV2sSMR-d-nlpxdGef_6PAsBJWuxxGUiCqrRCjyM0zoSNVy3p94jFTq6Phvc4Etv4vvFmC3spk-NnD4RWXARpj8RCG4RIYZN61pocPcR-8kwX2_YeLuhIPaRPj_mijoCHMmauOn3lXxPybXCKCbIGMC0W3vKr6Uz8YDzf1hwgn0Pu_uHAdMV7uQZnDRYtV4v5JMRxP-6YkfiJ00ye36KKgi_jRGDYlHq-OmBDlQwCPK8P0ZIze6PSfJ_rYx00DbFJEwFTq0_hGWDlviUKIdGfpfjWRrbxujpjOWyvU0yrV0f7TOkpxqZlydPUQ6tHBue57B7fgr3w0YwNYVI_PvVussYqdVuBRbTfarm-KBdKGGHcCjEBksg5Jk8MkRu07zkz4rNi3xr3Jm3NpFmBa_CK7gI1YE7ePOgo4QQV0lR1ulWR3dR1gFFpGDUESlKrD1Ymdsta0-Kxh59DAIPXkPJed8H7-x_VC0OMUnOlOppnvG2v3tI_HVa7hgCaeEoqkFp01kLF5EWWijTPJfpkq_ZvCIPGIVza3mfK9-SxL1w%3D%3D
EisnerAmper LLP,Senior Business Analyst - Tax Technology & Transformation,$84K - $116K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&cs=1_efdac315&cb=1672429393283&jobListingId=1007851780515&cpc=A47415DDCBEBC78E&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-0ad310b565b15fe9--6NYlbfkN0B59FvENQ1PoESRw5gnAKNar20u3UYxwrwjmE7U3P3yjcM0YAVk_sAPPhn-zC-_zaFq5cWPQVPVznnE2Dm3XhDlzljk36xVOItGhuNyf6xJYXUDTid8I5r18iiTHcSwfxFdMDOvuqVEcghSMGlUH6mI8Kok32idmwNEm2rYNa54e-RrbPXZuvuZk-Cx2f1zCMP_LsPQZZjzeacnyivMHZobI7AZ2JwUXdkwzeNhkgRNTsUsrQbqU9e6S5O5gQAKWF_dORMkWVnl878oO3PYLJf2yKmuoyX0NxAdZzJ5v-3YkwssffEtUzkxmFR5xqFudP73FLjeEmZkTr-JPoDZKTBAIxsUPlPGtYcZa9JrwvHWZ39bfqmvoE3uOZe3mHnfp6C01y7QR7PKn5LAQRqHUS9lOXmklltklENHKzrbQI4O4_cklTBuNHbane7j5xkv11OXynDHTHvHZdc0ZnWrDfjiv9HmM2eQcoqKicFMN_VQruRfEJhdIRcMIeg4ZtBr9zo2kXikdpu7J8D2ZoHjDsyKofd-HpEbe6NE7Gd5-yb2h8J5vQ-H1u2e68n2CsiFFzU7qjKZYjCtVKOludQKJ5gBCNnXcPMxU5YouNdHu7W9HFklv65YM3JKqlrcaEaQt4ABZ5LXB4FTShztH4tggs6uXwT7sGUPhWKBaUVpIAOvXX8IMmGIgoCr
Combined Computer Resources,Fixed Income Business System Analyst,$80.00 - $95.00 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_aae89aa6&cb=1672429393283&jobListingId=1008232708733&cpc=FF950A86FEA5DF54&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-db3e9c05be3adbb0--6NYlbfkN0BldYzZX3Rc-W91WsmH5NHExfqmo1VnWi5oaah42hwmwNL_wpkNzZYB0lWofYLDk-pCK33mrjTGLuLJYz4HhqdcVhuPizJ-wVmmxAlCcrIHMfT1n45QRnumutsCwQoWq61vyQgZkiWFM_ryoE7RQ1XIMjO38qwNSskHR01PWddihOOA1fVSQM6kCurQveiugbrwZ8XG50n5RdhB7Xgv_63vdjoc_hR5FdsyNTIKfS2jrcVbReHZsA4mqzbm6WgfBgrJhCgKc7OYQwchbeN_T2ZiyKSy1YHTgx1RB-k6V9Bipe_cTh04Oa02UPTjSv8OiKqhoXqlIRFw23-lEkbX1eKFVaA0P_wkZgSSJS9nEEVRM64H-g7KN45J1GcvWWZGvTRiJz8Zb4FT9hUN-oiYdMyx1TE-D6rDoykmrlMhWMoMKfDC0SY-Zrv2aLkSdC3gfcyNV2HDgR3ysKpJVOQf4501h1gNDLQ2aCJM40j1B7N8QN0APOQLtd68SHr2DENhJMokEskr3IvAVjLCCDRIWs0U4e-kusQwxz-p1NfWTu4-5IbTX4nT-3Bk3BZ_JcU2GjmpxAPKt-9R8gRs_jGie8424GKeRLvcLPM%3D
Sean Ryan Associates,D365 (Dynamics 365) Business Analyst,$100K - $150K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_df7df04a&cb=1672429393283&jobListingId=1008354373356&cpc=5C70DC7FEE0D01B1&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-56b6f9e790e227c2--6NYlbfkN0CmVkU-3SLGyShLjxOebmHXmXDDhKI2gz266ZqwCJaypZT6jKPy6OyQ_3lA_E4HaFc3tdujGPPFMQj6xcoJiIIeA8dNAmejKhZN9M7H8UeHLcxZ_X7c587cfhZ496joToQWzxRIQBa7y0W8ILvHhzokaGPwdHF77GSBEur48HHtVq8utE5q8ZzQI0xuBB0qaK6sh708neF1Uf3m7UTSsZiyLQ6xAp0-6gnSWRCOeEJMocp4Gz6vp6BtslnV9LaS88xUXSMi3Q_uIqj1KkGFgJlICiiACk1z7wJ7z-SHGCOJYUmFhWzPKWAVIiHC_4uWxrp9UhMhko63B3pcHZNs9cHBFl5ng9kaL7YQZgy_WExsDpBsrSBqAiFrxJTold68lRu4ICyay3o-romhXQIsmoKx7U4gayeb0erSZqQPbI8WQxu26kev3tjw_pEOwNo_QiK2iWg2YbKgqsKu4Qa9lVQV1-BTxSL8OBthdN9cgN_NQDJfcFBt0QAEJHGOGBV6C_QEwbom8oDSzesJevXjv6SM1sHzCD3DKrXNSEuyOMPOYi8EDRedSA1QomRR-CChxz7IKlUUl00sxEakqI_tTdPNX1oDiQOTOPQkgG3NbLRIlQ%3D%3D
Citi,Business Analytics Senior Analyst - VoC (Voice of the Client) Program Manager,$96K - $134K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&cs=1_c30ae413&cb=1672429393283&jobListingId=1008376259296&cpc=AF8BC9077DDDE68D&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-96ba39a9be6d97bf--6NYlbfkN0B7UYL49yWBrrOlEWIsfJu1HwdoffaEv3MPqVgUrdyA2kiAoLm_k9hokOBhNGuPur8Q15FcBCP3M0IarwbmfKACvij81v6VYWwr3d7svuSJQA_sl5gMQRQu0YbJaDZdz4YRvtKTz-It3pg8iLQ5ZdemCV9e8vR7jKENntpVmQeT8yEjIwNV4j0bHnxCOdRGI0IhlqNCcUD6SiOf7RwZSPEPbV3SVPC1Sl9rI5u9wbTd0f7Qo8XTjq1hRJuTCc-76-UUbbLSpZ40AFv3MvcRH-IvCX9b6HrJ5HjU0Ozr9GSNFM-YJVZgxuNy0Goy6q745FPcAZgkSXiuHFQRQslur_sNLlu8yd5xX1atW4Cqu1Hkayy4XIevNVdq75l_ZPyjr-7XJxxpPo1ISLlhQQcVI4LoUyxX1-o0oXWuIIkCWc26R6P27DAvS8TgWc3qulWWIVhMdRv4dBMB02hucsymz6gM2R_xmIa13HIAX6hQHoXo-PQyN4SIw_SDnh1uS1SIpuw%3D
The Brunswick Group,Data Analyst - Data Steward,$56.33 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9ac75912&cb=1672429393284&jobListingId=1008334487500&cpc=923E3B470662C757&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-77e0bf99fefb1d72--6NYlbfkN0DudGT5n_1kR1AbYa4Vzlr_XA90oEfnpd5HRE19QTeMF9G8bVNWNWjEJD7TIYY53Pm6kxRf4N_7aLBpdqku0vEDhLon99sKpVtTmR7ryyAi52gugrSUkuEoOpEWYHNBM9nUWywjFU7v_b9s4sat45I3bxRwo1zC173PEG64zCh1AnRPS7gXdsMBXFk7FBG3ly9cE_lZieZUAGA10Kfbbnf92FOGsHnkI2l-UoHSWSabynxFc-1OgojAP6CqpCdKWj4yBSs-SYUWehy8RoUJ3ApEFjp6PgSTEVNSHZH8GfFshQtQsLlfaprq4B9g2U9D6Vw0jaEkFjXW8t1D-B5x2Thzt2c93QVN2Hvch6SmZAJ4p9s7A9PzgjrJs-UnTrZDQBUA-nisaBZupMihVeYGdCvxElpkP09oB9UGPsbLma0SRH_RB5gP-Jsl5n-_Kv_ZPAxv88bjDCDSC2fM5GnO1ejxOsYdV38qm6ddkVlCPCkVkgyXREKs-m7J4yJoID2qRZRGa4ObSpC60gmHLC5uaR0e_Tr5iE65CHgx09NlehdO3myjCMTzk-WT
Citi,"ICM CCR Senior Data Analyst, AVP",$81K - $120K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&cs=1_c4f4ea0f&cb=1672429393283&jobListingId=1008376259312&cpc=A938E184CF850189&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-b8fddfb4f8eb1b68--6NYlbfkN0B7UYL49yWBrrOlEWIsfJu1HwdoffaEv3MPqVgUrdyA2kiAoLm_k9hokOBhNGuPur8Q15FcBCP3M0bOVO9pS7k7ylSPDFu7yTXnmwNcc8EfUebZbcuetiPm4B_fU9c1Qc7jWwTcBEM5lU--C9qr4FPZ-rCqGXr3BXohzcItG8FTeecKcxhnRdoB_lbrRhNj5wbPE843zVAoX-SqhYK9wQRiXPH5QGlb7T-qg-Uub1eLSsaqhoUcQMc_klQHTLwjCBsVljeiuHvw59vVdMOvWJDEZtvcIiQ1el5f_ziI7LpC2EmUR0M9Zheyw3ktcSNyjEVuWqci447g3leD4H-ngQ6I84rQ0994eP6cKSQfNa-nrxiYl0QIgHOZfOA_n7CabXrBcLYnRDT0H58Vwc1SGGWMHjYwaclGUide9l-9fgdut3nNLQvwE2PZP46BposeGfBC_wYtx02lm9neH2_9zgRBEvIwk8PP_sBoPRKb_628rJN3Y25g35rjGqA7RMzUgK4%3D
"Recovery Health Solutions, LLC (RHS)",Business Data Analyst,$68K - $95K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&cs=1_f6b2e807&cb=1672429393284&jobListingId=1008054358832&cpc=18C9CE28155C17C5&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-44dd9f0c8bfd01a7--6NYlbfkN0CAgqrcDNs-vVGp8JIV_q0bc2Yod5XjJle7wU68BQvsWLR1zxyTKsq70L3TYkA0vHvGjjMKT6MTRdDqinYs-OrTQ6B9HCnzsWbkNvjjPvTi1BCBQas9wW0cMjK76Xno_ZYk4QVWOgbD-0BV7M5CPtWC38ALyxaoFT1b5UJlWYRi_MTo4GZdyPjJ7-1MRLn50txO6gASJ3mvAAwJwvLaZZGgjI51urT6lcTz2DZPybdKAiGquzSkQuFg28L03NAfr7UPztOQLKEKznnW9gTE7fX0pyqnrRvtLPec1USemrnPiLipFxtVnL3gVYAu28GdXOWo1l2oy9tkTTTEYNM5biz8qTpXPFbsuR2h1ae4sbXaAf4LuDYNuagmFNqbbTxCNkDor4o1Ut0vkRQhn0ppiM7sJFUAGThOuJHPdjYEco1QKyUOaRh3ab9KwahjHyOmjvuIvtynad85MLYHvPrrWAa_WefU9Dp-4Fv3UJaa3ICjUMOgPuoZNF5POXcCEgi-DpY2FWOKFTPlIh1wNfyWwllnrH04CmJ0tqknmYMepDAvkGMudysoVDdUxzovAQ_k2VTva9td_iJCkYciUZmJhGFyXM7X8vVdAGh7aZBsjjHVdu4bsT-9Huqdm7yWz0xVVl_Pfathb9DH3s8m34wXnczOLN2BYN6a5nlH4xBkcNa1_ZC7eBiBpKyN98S6YDEiSjOmoiqIk00Ljf4mrrLjzBRECiFxOv655MqVLzkyY0nkInRr925RfgCALhGm1WTrxsubZr2QXEXAvYDtrvtrZUccW9s4U-wc2inBdDljbFbPMFAXOA4wdXov5ku8ToRf2mHovdlfN7RNki7PhA4YPOEAfEU2zDJ5HMK7Gdd57KvfFQ%3D%3D
"Pasona N A, Inc.",Business Analyst for Financial Institutions - Japanese Bilingual -,$130K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000185648f5404a007093ceff9d148&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a1037171&cb=1672429393284&jobListingId=1008121275908&cpc=D24EE3D704DEE7AC&jrtk=3-0-1gli8ul192f3f001-1gli8ul1sk26j800-636c9bb4303502ec--6NYlbfkN0BQ0BgX18I10G6uoQ7vFAhySPo543-EiU2WryMBkb_Ame48boVvd4ZZ62sEUU3CBB7e9rJQwTrZqQLtLPpJ239oCoKaWSzwSBeNuNvh9owAC0Jj41iI7XblhPrVKQpGF3R-KMmiynF9Z5qjLsWV2SFt5FqntjD8zvYWAkR5VDpVkSSUnUpgkwrUPhAi4os7rXz0VBr2c53FOjn5wjjqbpJF6poLMfFZj7bDOB6KA_m98KbVBkoYE-WmPemKnVWXnaTLmCpePuwfqcYW-WYpxesfvzt9ZK2wMaoTOog4nflnZwhdLV-T0rFe5pf736PY8X7TJBCDgH9OxfcEIS68Pp2MyJxH3YnUxUMYAB0V2ml0ZaWdNvplkguRlt-WcWEtNxHFKXMNxiUQRrGTGd3i4IRhNg1LD68e70GOOFnd6DHrMji3ic1ic3RMogQiNYqo04Zx5FzqGAe5zX4-zPTux6opTS9MZUOjLp0dCpmU1HAJw0TQ1Uyk6s9ta4w1Unv3lz75B4SiAUAZksuAT6DVvGKPl1i5hH3NGwJ-8B8s9OPNuunoRZ3eXu8MkfxmiYIIwk9g0eJcw4hnTCD-vjO1OFrP_OCIdg0G_GfFmx912QG7maMEUH5ING34vRbS3vGeTd2FKP7Oyc_fN8MsoyuHSqc7W0sxWtJny7BtS2vOTgFL-KJXJRB0p9MUp7IeNk0kv-dHrzLm4nXTBrdX3BR_0CAPq8UeElLrkJxHAaHzbDGGiXFMEMq86CqDuJ0jZ_1OfTvDvC0UI4INvin7FdY-gy0UkCoQEtHaVm4%3D
