comapny,title,salary,joburl,
KNF&T Staffing Resources,Reference Data Analyst,$25.00 - $40.00 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&cs=1_2cea7b72&cb=1672427809967&jobListingId=1008314363150&cpc=C0FAF87ADD587446&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-c781ccdcfee7c2bd--6NYlbfkN0Avftd6jsqiWrKyZssmiLKhk4_EZe-NnSIBQVtPsReCG1ww-Ekrjl6CxZfc3qhyCHf37TAq0axBTaCn4NYfExTkOTbQKB8gh2KdWzIgqXwjPneBVbcOIhoO-eVS9owiown4MU0MS97bX1DuzAR5694alRUwKnzDCfZzFGIaGhiIhgotiNlBJoXh4dyDaXEMszTryh548prjNqVEj03-QKLoNBoeDAyIUjJLkNxGx-8lvpGIcwhkOoiMhCNm-otvqv-tuu9lAF4rjdto8y3XvNpfJABuvK6id158UPaPou9oBOMzwBmZGHHIeU6mwT26G3K88-eOYunKnQooyWno2F-GAziYK1DVlAuQvrlw8lVZ5w3KzCAYAEEPM78zmJWGolKRSyql_-GPwidE8-DjkDUJypigWLCWKi8C0VwCdSt0KwTrKnNwmKf1fhY-g4x_18qKzaizu0yPG5hYcm3XyF80i5alOQWqLvIS-4I5RrZ64-C5krNbeFeljq4JR-h_YOPnHoCOIdv6YjjCKdssmQLFxkT9jgDjceY-1E-ci7-wA-s0lR-_8yEDOulqUJOwh7Nzzkg4QcqiiY7oVOrJ4aoN5ZffIZ8z19Nm-lHMjJI-iN5F4ZN5pio2,
Takeda Pharmaceutical,Information Technology Business Process Expert – Data & Analytics,$88K - $121K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&cs=1_0469a891&cb=1672427809968&jobListingId=1008371195975&cpc=22ABB673398E21F3&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-775d9ff24e6c13a8--6NYlbfkN0Dpk2nRRB2qCzcWtelMs6RnOpE2QQykp_Gr47Tac0r5hDEdwdkk2Ow7twNJrlx9aOfkw5R7Y88VMcX7BBgZ4fJKS-CsDaHdP5WbWIIGfHOGAra7BqiTTycoR56ceMDOl8fWFwINL3rOaJS-luKCc8HD6WCbBRt-vTYPCVBMcOIAU86jIWB1MRhOLDe3YzVt7l21TwducF5lCEU0B-UWFchye7fJGSo5dMkD27uLCwpx6Xj-J3GWUFXoKO9dpOCnb39GFL8Wge8grZMOLyD1VMMPjwoj8Xg8gypqFAyMXATkC_jVlo8G8fC5JOBaqVi0j5InRZMqlLMMZ7kEULtxz-UWkaa2aLowd4d8HG7xn6PyS6IXJYB2OTAL4_3LMFCNy7r0k28zpa1zyigffESdIEsUljqw7KYywWk7PmvIPl2BhzYJEb0_gqR_LBVX9_H8Q9QcZR9TNw1NMTd4-qc10NUu5cAb-8VR7JaYOTy-4bS2ERWaRqKWuAAdv29rKZBegg8%3D,
Nexamp,Utility Lead Analyst,$64K - $91K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_31f73e6f&cb=1672427809968&jobListingId=1008255139098&cpc=973E6D846143997F&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-059df1567f6d90f2--6NYlbfkN0DA3DILf-aPfDkcgl3b30D6lkm7yOeUEJzaCM8gLpdH9LpLtFo1CVIpD9OjRjMb6egZt4hU5Ey-Eb_PyQBmggbgvUOb2doVTDPQEjb7LCtjU9ec9e8i91EoWQJti2BElEn971-fFAISF0ioVfBLat_eiA2Tg5hOH-kFev40a3FwOMKwI0_HdJZMNUnNBavAPfrlEZRtU8nR-QH9jXvLe07qdiiPj3fqO7eH9QMI5U-PaJ6-GARnDd6t8F2eLFeusC1AkHmIKoayM6XT4XjrcmUcIveJuSVa_4xgLBQ1TG7UTDi-Ib38Blv3BNM2WVGVsw0IqdONyckd7-u_02EZl-BJGfWd1iQwa7IdekbVQcjnZY2fOUCXYiIYchXehkyJMztyYUhlBzZ9cUUaXbeRztHh6Ji_WTVxAlYjp4DwQm36nwCabZHcMgawFKfgRb4CSDi8US--MEcDdy03ilnwa-bdTM2Pv95Rp-zLcusOEa9d2D7LQnNMWCVZa5g_QQzm9z4nH49qmCrVSaOegSGmZ4vW9cgg7ePwn8Q%3D,
TriMark USA,Senior Business Analyst - Infor,$88K - $125K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e1f21419&cb=1672427809969&jobListingId=1008377212642&cpc=BFE8C4BF51BDD557&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-13b59b7dfe2d724a--6NYlbfkN0CQY2tD94KLkahE5TnBjrmLhCHYUPcYwDi4JNotqGx4oVbkekjCkrjNM2vW0qEqLzSrYu1RNHY5xzOuLNnK8I-v93qLKSoF0fD-8jGQNlFG5_nqeLzQhU3avOcxB5ozYbhAqAhjPcRPhG2M2MPulGTVOSISEiSKLYvFJR7jMnFNXprZQbFYjC0XgJqsC2JssApQewOETKfjR6jL5-KL3GaqT9TVT3eCTHyY4aqeobaUfibBY7m9qNF2drZWFrE_DpaDIPYsvbbIyRWg0AWKminzrwYGJ9K5DFK7893N1lhHygs_U48s5rMzBYKjKIRpD3ao67VeauEcMTZ2_OG8zC7lmKxPcAwur6X7Grrec1A1vLTwn4MtUUBg2pHoR1S35_zEeYgunU8tWPHeDB5aW_Bze4IjCvkYo4iAh7nyFns-jyuKg4PdkwRLTj72eTDhtYFlT-0DlfW0p-KzwzluqUR_SI1OPNJX0QNaP4DgWkWDTeGRIj5kc7LzmIK0vfDOgV_ggwEY3buKU3GQeIJnHcnEqcdsXcLj-JC3RHSCKEmvK6ugZcXxpvq1kVRErryP060rbOSL6zKceD54QAUfuEb3,
FSA Federal,Data Analyst Supporting the FBI,$25.80 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&cs=1_91120beb&cb=1672427809969&jobListingId=1006820666031&cpc=26740BCDE5E48596&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-8444ebf2ae2d6771--6NYlbfkN0AK9q-cQKnf3DfHR64avwMzIcXVxwit4OIbhS0fZYeNhvY1IRVnFZKIZbSdKeT9Hyp7O8Q3fTQzYPDKu8_sHbDDci88CpxTZwkPpDMVG3YMUtGZzHBMnTu3th97yTVdcfsKHGvBTf5TdjJUJljZ_WPcsZIxrkRf31BG_d8ZKgMdHlGbrY_euojBclTCXCl-U4KmjaOyQhLEtutHpiZWSw6tFOKcfb23kJZ42B38BGxxaIFepgANMy-ReryFLAzgQcNnRbNrJmmHdOAWNmdBWkTqzqTP_x17W_qSeUejOkxTWBYMANRUNgNaB3e1DeoeS-gS_5qDiVCnuqFZnicb0qFCdIuLz_Ln5LYqKzUhwL_2Wl52wQpUP2ctxl2qZ1kQH8MnoRuLlfw7tWJ5p2OO7J2eDs4pGWY0IjerBHsDv_3rHu600ObkR6q0PsRi_dPiX2eScKvaFItZIwMTl2Z_OKNudYVuK9UIwmCIaJSyuilPrRNUgQOuFFv0mm7-K9VJlZge-7A2Td0t7EOAcbhVzYdTYxjWcYkKwlfTCCdvew_9MDLcQPMfkt3fwshd_cWV_74pE02ly7mnrxxYvO3cUourpKYeEnBTBP7O2y9fSitMwSyq4e3My0oRD1NvnjRiAmhf69-eBrY4DfWPzArTqqsoZy270rEc9UFBxpADMUFMX7g505yT3kgD,
MassMutual,Business Intelligence - Data Analyst,$94K - $128K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&cs=1_34f24be7&cb=1672427809969&jobListingId=1008291257988&cpc=A0637F14311B9419&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-d0ef450aff08ba48--6NYlbfkN0DFj9gZGkD6hIivC3Rng2xuqJZ3rncW-JAanE8wdiO15uWtF2BH69ePVayfcn1bRK2MMN0KoucX0KEZ5NuWBklvadhOuMScKD4DmgWNRcl18mygnQGDVKzEKWe6JkrSLTw3vabqN6_vOJiM-gvjNpJ-kAaqmRBDva2u9PeCGoQztX0-rQyuHlgF9KNWVDK8fKP9oGwM9R9wXlgKCt4h0cCVS8M1SPuhIxPvUEngUSwUupfcUVhIgPONwTap_5LKZlOys491khiZh2gp4rpIwlwlUtZgRMnoUPGowM2MatU7IH17oT8GcRlA526fRjDdGitoXb7WN9MaW-5usnbTP8Iswoozufob6X-o0j_3PQ7Fdh9tK7FUP74L8eEC0u-SJOw42NitL5JzHamxb_6OnmsLvWpUZdAAO6jrDo4YxgXJtimMug7tj6HFMt5cn3MMa2xrw7felcXnNyGSMdF9s2oanxJSxXOdyvftAnxTpTJ798Bl4VVIu8Zq4eMAAYLNP3yBx813H3rsnxF1DVuirSB1,
"iSpecimen, Inc.",Business Intelligence Lead,$90K - $135K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0e07e688&cb=1672427809969&jobListingId=1007638560770&cpc=59DF70BB7E75A6DF&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-5c5be6216b88c1c9--6NYlbfkN0CWk3zAs1yBLfl5l8HqK3Tgm7baOkZFKBMLtXxq8pPBH-cqH-ydX4d9rpkuwc42EsoextmzQ_aSo5JR--zc9UUyXxXY-zuxFa2RuCZYx9ZVPYwnxuZkyFvWyVmVCsFZrpLjmEjwfrNiMllFEIOcUB3zuVO_TYPmMOeudu4qU2lQCkLqj099XRgERkbMfrvuIAqX3vSmUsVFSUwCFMK2cBCyOLiGg1V020I2cUgVtIcjONCUIUyrcNB_bdyRm5oGRwbujfCXBFlOMzVcT2xpRM26FxVuFmV1KnZtL84dYM6w8rQsi9m0miWipzzqizVvx6UILMdNd1MSKG1ig4R_qqENS89vq_Ilozvq3a2UEO5a-eVmPHPtR6tEvmx-7YVZg1g3ETPf4Vc0qBVtXDOFXCp2pv-WRotLNkUeRys1pKBAygCDZteVzk92vTRoZ9OXKaOL1DMLFCZhlwSDdM7lGvKmsohxqRtquNRCq7zrEEsbD4h9xJZEwiXXT5fE-ozzOiZiWEtl9MobScGXNQmDpSBL3D5LufCqHYZOS66YHCw0i8A7shpCQzXCkOjoKvE9sSfflY7nZNc88AnUkkjMxXwb,
MassMutual,Business Systems Analyst (Cyber Security Data Analytics),$100K - $134K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&cs=1_b58ca1df&cb=1672427809969&jobListingId=1008301329557&cpc=C19BE7EA145E205E&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-81258f034e2fc90c--6NYlbfkN0DFj9gZGkD6hIivC3Rng2xuqJZ3rncW-JAanE8wdiO15uWtF2BH69ePVayfcn1bRK20xPzruL2pgVCch4NBgIBgDU5jVWWun0wjUKt_2xUVEUdYF4k4B-9L1mySlyuCR5OrrMEmXfggOc5wv9qVV-fCd_1Jl5YjkVXeUE48QGRhrM3qpUVmOwwXNnJ0BmVTVirP_CqeT6e7_sXamvtDLoW44F3QntfBAzSPeLHOpobNk9P8YUZLbuFAd1QtA_maGbnADirURb30aUz2ynw4mSgfvsPR5ls3i78jEkTk42nkVz_Rdl5nUM2-a3qcSmeq8jwH0o1kVWnYVQJGLlLAOcg78nIG33lbG28DkdI3ELUoHddFvkY0jnoun1Ov-sgUXOLEVYwgwtvnbr6alkYoO2GO0AVNg8MYJynbdhJNHBBz70kie3NfUIEAgBWhNcifI2AQDpHao46yzDcAAM4rbiiBZ9PjHAhK2moBeIRZ5YVkBcneVWx-4YziBRJ_Ks18-fNzQSB4cpBFbJADNu5Ry1G7,
Janus Henderson,Charles River (CRD) Business Analyst,$110K - $125K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&cs=1_0bde4a03&cb=1672427809969&jobListingId=1008183954621&cpc=59DEFF8D475298C3&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-4fee484ac32f03b3--6NYlbfkN0CIoHyTRj7NMWAEjmkbHjgwUzT-gR8F6zQG7UhIZtQip5cqMWKIgHv3kl4I0dD-Pef_yT56D3hyGp0-JC8sDWrifql9rqw_zI-yJy9BSy3MkmqE4iXJ7wgs-ONgXfjn94YLvwiSvSvLGvdtFSDEN03u5m8wso9jjyOC0BA2gl8i7XJOMIAP6QGZdqgGZYJNbmNZji8XVORhJjBO26nh2LRqCDsVCShZt9MxN1k1M7dNjSgljR8Avp6adzO3jnxtRbFfciZJp1eEnQVKkQUj13xMjeGlRfm4yL73wKWarjOx3iPpoCSMRVBV8KzuuR4lrLb9NhPC3hfDvI9bryadu0Trup-NOKlOXTSUAmUBQeVEw4t9DHWinzKh6LUilOB5o3o3sy-OyFU9vkaqgguu2QYrr4RVNmhzy6ELsR_PR5yPPm68y6-B77KIVFDhCFuQnO2enB7PzoEECp6qaXYO6gJbTHaOYOVr2nDvPVFlxSVW92OUsN9DiAzqH7BMrxKWct51rZ_06qr3SAbvIyXHM64kcTBey5nPp4TX1Kq1zAhWI0lduLjo-eikVxfXJIUjhK3h8GGJhe2qMX4QYNBNcC6Cp4RvaLD225TQ88ib6z5FIvIfoteMidtv,
IOS Staffing,"Healthcare Business Analyst-Norwood, MA (38624)",$27.40 - $31.25 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018564772b5da4328063480b1f02&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_04c59053&cb=1672427809970&jobListingId=1008361340355&cpc=07D58528F3898F33&jrtk=3-0-1gli7eas1jopj801-1gli7easnii25800-90c6fdd87cce3139--6NYlbfkN0CQvzR-0fx0RhHUGHjGVvHP3M3qYtzS7j6jJpnH2r88jZ9HSPqLNXaEDmMRavL2zerxNbG5XSIbzWUp5H4Yx2OsQiZh-VydZOfyn_Yni6hshhEDzb1S3Q6qYhfBbWG7CtTTk2nSsw5uo1onkI6xP1dSlz5DgiNY460p2nkBPKvqIHanb6thqsdc9TODGhIbYNR2MKBgxJYm8lXmUnaVw18WP80pMpjFlCKRJa1R4hYl0niwoElVuYzX5v3-C3eJHcLhIltjry0647zlGbkSnTNbQdjeRjgvlF3hYlbLqbINsnKYA9gBc-4O65eUiFK8AbgyRO3z8kg5KbbdStQjwZlPjPQrAXZW6hHO_Z3tnbDeKg8153swjrgalvCZSrPAh4N-nBQZJACriufVLMYQMhTntxafKLT7N7nYwVN84jCImh5abB6LvZVuOGTyYbGy8_ZebfyLVOo-A8hPJVXwCA1eOEYbmGkcuBeugQ7M1wv_ZDThuOs8lgaBaBg90bNgK1Qc67-I5912xHLImO4BFtAsndKDyGw_M5V2fMZyQq3-E-cho8KJ-QkzQj_B1mPYb8gwDVJOODakFmF49OrRys60IWpCSQIBapto6o9nHt1bmg%3D%3D,
