company,title,salary,joburl
Fora Financial LLC,Senior Data Analyst - Marketing,$90K - $115K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_94d4ca14&cb=1672427594584&jobListingId=1008345025559&cpc=AE9F6614D4EC1B58&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-1ab9f16884a7395d--6NYlbfkN0AVmeVdBxbwCBum3pEXmqWPa4HbGlv0gYd5ueWyFHBBN9gsPhAKnzVSn-hbBgwAveIas6YLjFlK3WHGbzaBgAF8aMq2bZCAX19jR19sl4oMTuRUc8YNFk_iaUyjhQJCqQJGzjwAyq-cjOlHsxrX9qcTRJHT8WK39ffCwNrJ2e_AWXs1s3OOh655lhlpJX45CBT0lp-q_Yqti8tgt8Y3cLX5fwp9o68yrWqoEJWYb1OWGtZUCIoAo3i6HnkLgazkuTZw9iHwJCHzKgNxAOPqiA6HsNYwHAY46fuHMF8Ho3-sgX9dw4HDvlCOOnFjDaDpleqtBL5KiebPTL500RL5_BBJPkLnwitHO05yzTniz2YjQhH2I6oGTe2Ru6wCNfP8DeAWKYhwSc5kbvXZ0BmmSSJCNRCJzqIAPl0FKYr3fQxwx75eCqQgF4cnynT_Joh6Uc0EWq_dtwtj3Ul9A7cHil_4DU5dWCt1JrFpmoteXq65JEq-DZJP0sLX-DYnx4K-kPzduAwoEtkGg7ygGbOfm7isN6PcLyNgJLBjhZM7KIU55LQbXH4OKA9ax7n6O-K42OzjsAfMlb3lwCp0MyOc23KkOs4IZ2-rGwSqfjYl-SG6tinqV4WtrGgxK326WFis8WRavf6aageDaPxefWdPFxReBLix9XnOBf5y8THFyCTk1EBIqDgbKMaxRwNyp-tae-wB79cZGLQbX5qu7ruLxhzQCHNtkqQSO8kpoqo21b1nG80IisJUyvsq5ANBJ4UAz7NYxyDCZKKDj7uYLHDPpk1miEHh9Yc_cf1uMlKZJcJWStTdwBonRlWgpoU2SksaylQ%3D
The Brunswick Group,Data Analyst - Data Steward,$56.33 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e01f0f50&cb=1672427594585&jobListingId=1008334487500&cpc=E04C949A9101C6A2&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-77e0bf99fefb1d72--6NYlbfkN0DudGT5n_1kR1AbYa4Vzlr_XA90oEfnpd5HRE19QTeMF9G8bVNWNWjEJD7TIYY53Pm6kxRf4N_7aLBpdqku0vEDhLon99sKpVtTmR7ryyAi52gugrSUkuEoOpEWYHNBM9nUWywjFU7v_b9s4sat45I3bxRwo1zC173PEG64zCh1AnRPS7gXdsMBXFk7FBG3ly9cE_lZieZUAB61AD8OMn9ZY4ITFNOmHGPzr-UUWTpTWWqHckhfGI0ZPc5ef2Ikof5SXIe6Tx0zegk_8RlVwYYev3rS_64zGiEa5zy2mZ2iUA9CS8UC4jm-9t7cgZYGAbnwzflCKcE1LbILU-RmkSo28JU3_C0z2GNQz_U1fAsmlqQXVN_5mZtIGk9WwFGJzp9KPRgr0HoozFP8rY4DZsPUQ_lDqprbSdvy-m6wxb1n6Qk7X6mj_sUUHlbGdsEVgOKTQvSeeq1FBjl8kV5QipPbnwpgUy7DsnCu-6lJ_vsvO7ae1Rz5rEXBWiztmKcZvt9S6ERU24EAQ13B14YEnpsruJqz_YyYSI62_HVs4Tqm1J5cd84Ixyld
1199SEIU Benefit and Pension Funds,Research Analyst,$70K - $97K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_1f988948&cb=1672427594585&jobListingId=1007858204598&cpc=FD56AAAF1899B499&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-6290df0bf6effc7b--6NYlbfkN0BpnBw559Z67Rl027R70lPVTT4WqxSNLavsM5paM8lxctVs3M_diwyClYWaQ3NRiPEmhD44VG8OKZB9R1wUkZQU-LdQPoyJkDgIUEu-F_1hhK6KYpJH7mZ8mX04xuIEhPNl0KZ-QOXp4-m5cgCOXMM9p1VvZwim05UPLq4vQlpgKbaw_94uBHOIrEO0LGv0Z66t5RJ0PKr2OL7N4G1if6S7yk46HZMpnXK4eGPHdJPj5Ies_LOIKhLyLBWtfKwkZyx27TGVZ8wTaDHXlF25rVxwnaajqP1ulN8u575CDcZlm3lHbwLp7ZI7sRUzGtWr4OZOyyWlfW1Fwmr8UnHIaq46ZbqwdB3ieBL01tDnSM0cfEMcavp8rj8mUAVLUaWBdT08Q9Gxuyo2ONTjLAsFO6JEPBJbRLpSYI069je9zp8AAtwwvv6IJNKqCno341MlTU4XQXOurEU6g2-k_lTCrf0Onlmmm6OnCcaPCpaIIJQgnyRWP5XfxzrOyQB7yUlbq0II3a09Zoq4wXoaM-6NoUTC5YYwiLs3yMiHOCLoDIFhEWjebXA6CVqkgePt6m5XAig497E3NZZp31HiZDa5meomlYd58GhbcFhojkKqBXt6YEMiuyDkU5yaOkaWdPSyjmA%3D
Interborough Developmental and Consultation Center,Senior Application Data Analyst,$100K - $130K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3fd3437d&cb=1672427594585&jobListingId=1007913724742&cpc=AA718BBA0476CE1A&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-1f92959c4822f1e9--6NYlbfkN0AfSrTSqhnUfSuDCY3OkFkC4wlB0U4TFEu5K3yhUDMd5CvIyeo_tVB1FjIGLbyNwUbcbH-wlDN5-H2RdqM2P-nFvIfm9CiTfvJC69DtGUdaoyJov_PhmxuyOfjAyNam5MBVtWWwpDDhzOhiHL4tp21q6i8Sh3gWj8jFHIyWP3Iu563kvpER_MyY0p0VqCjXVPtQDIfoecNfSCdEtp7j0nNLV1bYee1a2Cp7kAjHJ3fmrxpZfV7OmqvIQyJv3cNCE1CMtzBjiGzCGr-gHPX4FLhLXZj59Cc7B4zc-fvFX0D-PaqfzlgKztTe9qR6sOFuj6ahcjNZLdT4YdLOAivUeul-vicU_i4OykVhCemgQfQeS74GWgFSjAuDIFomqS_tvP1Sh1izc94KCBSd8-8JIIes61PaC5VbTzRSgzU9KaIvSv8fuHcgqmgwYAGG_OPDAXAcDXVEcwzv6IxcxSS_f5im-9WJU-TRFh5yaZ2F-NvgxRKAZuFSCFUJTeD36BO7YkWUnT5SlIer_5pRuW6L72Re3Um76GhTT6Aj_aE6Q_7f6RAHo2SyWoiYLpeKpIYKH2JB72WaXu_2sutyd0dYfGJB
Company Confidential,HRIS Analyst,$65K - $85K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_26a3d1e1&cb=1672427594585&jobListingId=1007977002221&cpc=71532419B2302243&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-23b5b8955a68bf45--6NYlbfkN0Awv9uaZkW4xLwx-Ufy8xiiYiq474O14LCmXGoPnzUrRJhgKgofJm5lRMQdeo5Rzhe4IDClnBdl0fgcvx1mGAWir811TN1ffk_ndRMl9bF81frx3e27oOGVcSXi4d-v2vGRQvT72V0ofbLQGfnw-dwvMLm4nIw2zMkyh6_rbJ1g4hdJunt2riUlTolJUKkipx1H2df7mUl_9eT2ffub57Fw262X6MB59CADmzdhqTrf-bt9s9salENm4jv_g1_MWsFSIofMB0pGJpNGBYnD_w8tVwOh99We71RfR4RmoIJcCdfSw-4sZqDkJ9OpVLk3MS6ns-9KetWEA5TojRyTdThxqt8Li_carwyAb6-CZVPP1JMIHkW6MQ9pi_45SNwqbW18j1dGG0i3Ms-NcKE5qp60JI037qMcBMDPQTYm3gMPEyYf2wl1ReK8bFPxrzssXgi0lECKsQN1-lJT890bVSQ0M1IlIt0VKItsEdHxzRvJkmQZiZT487XOJKwliMpj-TydFqH0vWqtXvmnyA278C2mPdC3c71hNOnovjRccfKna-fIHhcjgsa6OOotmIdABJw%3D
National Retail Transportation,Logistics Analyst,$38K - $115K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_eff60900&cb=1672427594586&jobListingId=1008316532439&cpc=CA5E2B5B7F82281C&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-3bf6ca3ad61a9b84--6NYlbfkN0DXxnbcrqfBWBQTvNISjLH9TIw7Z_5Hy0eWp5Tx8ElC4TmuHQ_slC26ZI5H_jkuzD11ALOLkSGTfMEnHXH-l47J1ljOIfDPPWk7I9bUoJYsVo3vsBrD6mnrln9XNzklFmsoJpTty9ckoVbpD3YEhwdstF-YnzBXiPCemRpq1MmAtQQA0G1rae-rUPMCZj5wYWv5x4nz9irRr0fWP2FtveKS-xYJqqQSgeMDt8z7F6q4Ho5w2DQB_Mz-cE4ocGEncQ1sQdTG4njiRVgz2gZYYYZ1bUlqpwIkAsXCjuydojvdODYQTC-j0xvDQ8lymUHxVeJkVxPjGbxKiWESH4Hk4GTUQ0pbXoTURhbn-0Yxp3Kj7Z4iP1Y2Cyb4ovet-aZEzXr6MSSMy4JFa4An08qWuaEelTLPeUNGw5Fc3ptZALLTG4AlfNZ9lR_c3p2BAv0ARSq_kyVWL9Aq8f7WeUbHI91UfTvqg-tVVDtZachxt6HBcBy9PxmEHhblc6IxODi3OKJ4jrQPlHCZXIdXF8iE-6CT1FLrnOkz7pz_JS6buL6nbYEkYiPFXo7AeiVymf7jvYo%3D
Citi,"ICM CCR Senior Data Analyst, AVP",$81K - $120K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_c02b07cd&cb=1672427594585&jobListingId=1008376259312&cpc=009A9C8147DF705D&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-b8fddfb4f8eb1b68--6NYlbfkN0B7UYL49yWBrrOlEWIsfJu1HwdoffaEv3MPqVgUrdyA2kiAoLm_k9hokOBhNGuPur8Q15FcBCP3M0bOVO9pS7k7ylSPDFu7yTXnmwNcc8EfUebZbcuetiPm4B_fU9c1Qc7jWwTcBEM5lU--C9qr4FPZ-rCqGXr3BXohzcItG8FTefgPRQYpUpQbfgitWMSa1uLo_7UoPG7KRb1xK_V-Xxj-W4Eu6mwtfiO12GGcRkxU_ESN4tJgGoCgT_9TUxaDu7RMX11SFy7DUFbHXSA8FKLQCh877lPjuMO3XEmTYcWp2hTyhlj_SuSGoFYKWGPFIdmONqjUsuczhrSs2UxDo77pbSvg9tsvxfpUuFKV7vsx_giXG9j3El4aPp1hVV8Wgs3-RIjYviNYd3ferBzTJplZlHTRQWRxrIY5a60_GZfMPDNccQUOtCiUkSR-KtixvGirQdJvS088NeuFf63uaLAi0fWKzBkiJLK3gX1p6D8rkgT7sIAk3tK0LVw-9CWKNlY%3D
EisnerAmper LLP,Senior Business Analyst - Tax Technology & Transformation,$84K - $116K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_bfff0328&cb=1672427594586&jobListingId=1007851780515&cpc=095B46874B33126B&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-0ad310b565b15fe9--6NYlbfkN0B59FvENQ1PoESRw5gnAKNar20u3UYxwrwjmE7U3P3yjcM0YAVk_sAPPhn-zC-_zaFq5cWPQVPVznnE2Dm3XhDlzljk36xVOItGhuNyf6xJYXUDTid8I5r18iiTHcSwfxFdMDOvuqVEcghSMGlUH6mI8Kok32idmwNEm2rYNa54e5s8aeHQPvlFd64u-ziNP4r3WxNk0AZM6zgtrfInuA6J4HIzE_Ek4gfOeiEG5h8aoPoD-nwUPPqE-z-_G1SX1zxqW34LuAbRgXXoJcDOmj2Y1ROubASzr2ecGqqY0QsK9u3EmolDElpwiF1IrJ0t6ZmUaQNjkFwfztOKn89WQ5yHpAbCG7_SMvfN3iN6zVO5kOOHQ_RlWgm6mDjTRCMJ0nvZypf34dfOq2VY9Pj1HJPPlopU8oJwmKd09k7DLYRVB-y0HP_6d_E0ktRLff6puMfYnFPKmU_QKxtj20QhVAMwpdsRLn2tJKLTF81MssIKAs50QOeBg1Lhn3_G_kzi5Usc1hqc4KXz2J8h4ySthkJ6hPtSG8CPz-4-pkr_d_GKyHaB_tgJJKfGyHVT7JnZwOB-OU7-H2Mx7a8CCUFwNL6imK2yGHr2iGn0bUWK7eileg0e2FmCz6TTAFV1SyXURgX_qZWlqQVZl6XDJqZiT6VaDqdzXDlbnt3VvHX-1t_lycR37-DA0ReJ
Combined Computer Resources,Fixed Income Business System Analyst,$80.00 - $95.00 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_77612af8&cb=1672427594586&jobListingId=1008232708733&cpc=878687325D2A5CC7&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-db3e9c05be3adbb0--6NYlbfkN0BldYzZX3Rc-W91WsmH5NHExfqmo1VnWi5oaah42hwmwNL_wpkNzZYB0lWofYLDk-pCK33mrjTGLuLJYz4HhqdcVhuPizJ-wVmmxAlCcrIHMfT1n45QRnumutsCwQoWq61vyQgZkiWFM_ryoE7RQ1XIMjO38qwNSskHR01PWddihOOA1fVSQM6kCurQveiugbrpD2Cl0l_KGCao0GWzTUE_NXooSMZQb7qWL838aU-j0qxF8T7igukMI85FjKam7IgjYAQNVQIeeOlKEKE6YjiS1zcrkrmP3h_GqGWPBZSicodb-NHqpX9P9Ye2fwd5IP6ruEM-A1mfJk2EANMipM0nssiEqcX9r4zA697WZCxWa3udJF9N0AD60WwdqKCmRA7CN9GZn5cdn89MRlBemeHs-3sdkhkqxpX_JFyRlbKJRYv1eFTJIFpDLyqeDa-DI5-fH2ZT87FuJF-8zdHEJojmwOqsIJ6ge7mc1VxgXIVDoUXF8L5zDihAVWLqnzGGFKb4w8G9kwRVkDfGGH-YcP9trpBQFhU4g1qMw5qgY_oJoy-WtEDXO3Wj0p6yy9WYOzPtIX5zcpt4LKE2Q-Q_1pfN
EmPower Solar,Operations Associate & Data Analyst,$48K - $69K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001856473e1bbbcf213d9029ef2d0&src=GD_JOB_AD&t=SR&vt=w&cs=1_d0b30e19&cb=1672427594586&jobListingId=1008297210640&cpc=70D6958B2CFB98E6&jrtk=3-0-1gli77of62hii001-1gli77ofrhapg800-b771aaac31a4bfe3--6NYlbfkN0A3-ghFtdufizJbsH_wFarh6uqx6Svai-9GONBZ_5Zf9IHhHa1r9VpgpL8BxtK_2GLIsBUAk83a6EifNLyGczCg6Qv2yVGz4Tu_Lkv-Bav-fsF4NFQhpIxx1R1fGGNDRxprbsXPUxk2ItCm3pI-akk_NDIIji4_IyXgoc2tYfhW6Tn9erXmaDIkm3TjlZz2XDaAs4XaSP0gd4G6Hw05woIMwSMw8R0Su6EBEMsUxhjCA8uXI4MIRUJoSbnSRWCTNQ_U01f9x_XzqifmuC8gw7esdL87g4GlLUvhkjL1yc9YPMHAvTbLZVNAKqzLdVubq_jImRfIJXQpaV5v3NMSxPdGpPtlUD8SIaqdFVdgWlLdCJJSB_msiq9zF8E8fMpsS0tlQsL5xggCT5bUb1I-eDMM8iyeXZmNF7P8fkD5p8aO7csu3n7aSIjd4qWtdCGUgNXC6sIzIilklmj9VLLLl48uBOAB-Mgp_qI67t9WLV2hl-RJ0APkPj25NlT1qwraIrdsBo1cqCDWuVQy_i6q84LDtyfvmcn5xc2eDPa-_VpxXhpm09bxijpi7CnQw4oF1st9c12RbxlOld-Z93S5mlt1oP5uc3E-w1Y%3D
