company,title,salary,joburl
Novo Nordisk,Principal Data Scientist - Integrated Omics,$116K - $163K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&cs=1_0d9a8029&cb=1672430254369&jobListingId=1008365560834&cpc=66EACBD3E279A8FF&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-73f109f610fc8d48--6NYlbfkN0CwTb2KBSy5XqLXEHj5_mYBmDWKOk7XTvk_LICJOppi7cB4B2F4ZeEB2sl2BCaugXbjsh3cdkc3-s7BbnC29ggph53qbwBkrTZ0By2YU94sFIesb93s3dxIJG9TzQlBSFxm8oSDTvOA33vMAgt4xdvOCLtFR0BMKDBs957pei6PkNvhaKwsVmahck6c4EWDi8X-mjMMY4z1_6A_XdApilR55wiCg_1GszVXoH1JoL7LzZuGDfmykkdwZIJ1eTfBy2u_XUZeqBy9t6kGQ6t188XMhoYN3OJFX_4KzrelRymRd8Hec7WwQQLrf8PVoIQTyMungJnxvJir_vqaDEwShHED-pZrQ16j_zv32dh_iiE7I0RCUm1mmLF4AXM-SSCW52ynv-YRRAUxqiBug5R44Rl6wi2o-PrU5uq3bhiR_PYQxUEjN4tCUGxGjjc68PrrL2P5pqx6JVfsmHfnD3oBCI4j3LfkGBq0HjczG__OO78Sht8t-2wdKFV0D8CpUUac3MhZ3i6htJz_dsjRYGuqUHrqiTcgvFuXAdtXSW_WDJa3r3K4IhUq1CqtGZRvbBhhUdT_akGENO0TgmkCetNicACcXIpB8CbxMOgnbDfY0lxOriRKLkZliRvCQ36_vVqF6ngZROcC1fEKfYGasmLLTBOIlpTwEB_qOK3T23TDCyM-ib9CS31PO5gxFb0JRwuPsFkm1y5PDyp6zB1cbAV2lBtWm8noYlaJ1A7ABI6sR42XyW-FLrXYdgpqskkT-de7FetqWv3p4t2XHg%3D%3D
MAPFRE,Data Scientist III,$113K - $149K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&cs=1_397a0f0f&cb=1672430254369&jobListingId=1008286815728&cpc=EE119509A2DB00C7&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-d46c98c0fc1f98c3--6NYlbfkN0AwEZ6mhMgka7briuW-jsPBzCgPzIg005y4KQqZG50R3ETlY3WqXso4PpZLnOBzoMrWMsfywREUNt5vyu7NTniwqWiIhh77-SKoz1ET4bVuo8twr9sxi6Kq3H0dAa6e7stja-47omturbwUGlIcH_PGx0NOxFlumREYq6OYWPOy3O4K1-7-RszJWM5l_usnjfhUf1P0OuWtjKNMFgVZ5RoEYc6J7NfOva5o3Vamm86m1mVYBhWEFVVQTfLvIyaTalZ3NRhXSJUckf754xxLs4JLBZLkfpmcpZ3J8EosvjiO10wh4QZZNiC-xofcZffMOv1hbwW2HffJVFqUyFh_eaJ2gWG_F4URPx2TfaWKaPXfYFE0FjvANklWF8JgDPw9sTIgKcSS_CxBeoRuefM_HVY1fsbvmAsDFn_UNsXO9t63jlljNQIkv_Miowqae54v_g5nSeCB1-WIVnbGlDgB9ilazzws0KTPBCXoplVAYtKHleOp_mU33jk-BkgDjRFjbhp5pLQTfAmKhC0pzqARqUfuksApINRCX1wK7aGJ7EOwqN8YS1kRlGoLVBmAA5Rigu6Ia9XBpbCg69AXSdJ7Ci2xG8TL44NymgBUhHoe7VCoj0lLP4burkgiSy2xes1595Q%3D
Takeda Pharmaceutical,Data Scientist,$102K - $145K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&cs=1_be0cdeec&cb=1672430254369&jobListingId=1008371196097&cpc=F929909D2225707A&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-069025bd9fde796c--6NYlbfkN0Dpk2nRRB2qCzcWtelMs6RnOpE2QQykp_Gr47Tac0r5hDEdwdkk2Ow7twNJrlx9aOfkw5R7Y88VMXTK2U1NuL6c0c0B-rzeAsypmYX7bkytGvvpe8BcrSHz9ixuDG_ZJ5rJ3df8fqTWudYZJONEHvRaPNOiWS1aIH0A6uZ9WVOuAV5pEUi2StfIzkK661hcPa-Q9o83w9VyiNRhY08yw2dpBoLD5UMaOXthGT7FdwzgxoEqZImR6AzWPEjoUr4Np1oDtRlCLtTlYvnn58Xm_IgG9yOdPHLs8cSikJhH2ENXcdfUm0I3Hnq6Dw3mrRpfSyfCLfFcOzA4a164CLap1xLuljeCvoTxzKTEk3wYgjnX1RucxW36iYQE4Cnc9LE4kr0d-_lJaSmZ4NTCOoxEwR6SyvEh3AaxTTlG24BbGOqMLIUKqHGIaH3aFZj7WPTL4-8_W6gt0seHb9XmoTJcf_Vo58Ncp4Kwfgc0gjTFq_l0FlucHcDCWF1souK8tOwZ93Y%3D
Magna International Inc.,Senior Software Engineer - Machine Learning,$104K - $156K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&cs=1_a01f67e0&cb=1672430254369&jobListingId=1008358746124&cpc=777305277F503B4C&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-2063eb35c1fd9265--6NYlbfkN0BhzccpF6ixtd7idYJbEQGIAi-EzCSvYwQR_MosPHJqIVzfIuGOhUeNKntensUJ8tbqiSjIqNXBxCGU36fbWN-2T1HYicuoJLMvqC2DXxB-HkFSVXk4kzbDfPWtflHb_PWV60L0cEXZ023UL_TItNguOdUr65H6C4m9pQtdo2_CdJeBBKTSn78irO3DbHI7EDeBE-TnRaQXrxtmnQssdlhqUX2rTvJ5j-A0biDTXNLrdOr07EVDwDfzyLX51cpQMEYHG1ex2XzPZrKq0rBh-Uyvf8t5u3SrxbgVbYa30Vh6FFZAHl5moCMapKTH1iB5jELT2K3TfH7G_9R5bd1FFIMca_Q-nZCwKyVvOwhAoDyPpK_ynUhQ6MvaII0UfLPST2dFKv-S6wkKrljiRrufb26wuo6MChIQWSTAoSqEQpbsHqURJLaV4DMa7Ku_2-iTn414fhts8Dj3b2qKJ_yhbxkudNPJPPe6HoibGtydcFiRsRnCLgwLUSk6BQ8u8Jw4HJ_U_1wMG9tfmewVPHTB2UZ71i8hPGxPNwg602Ibg1MFtf_D-3IQDuX-
Cirkul Inc,Lead Data Scientist,$108K - $154K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b1022cef&cb=1672430254370&jobListingId=1008324766458&cpc=87034903B3AB482B&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-6ebc60fd6ed7b047--6NYlbfkN0DMiFM2DFaCxWVgUXAQeV1PT-6RmaTIEUC9UBgdAka0fSIYyws7cAL6H3Ew1nXMkV6Nga0tgRJy5d3fzohcgf2n1OlshKXT9oE4_0d0aXpuWKPMnsbAWmqSFJlyxQ6M0onGb9Tsxk59QNLUzr23d1XNFiet_D83zC-pRtr1HULTzASIOqve4kw_nAsg8ayHjHPARCNjqstm10mMu9NQb8svGmd5SfpRfK4VoBXxZuhM6gNdWhAAnOFP5R8bNkg9bLe5jvmujWU1alDO6_LqkLtjpqhlx4eeeFdnNyAKW--04PlihRwPJX-TK6IeNnv5O7zcBwyMrCUhSxdCnBGX9ikA4so1XMeObQFonPwV0UCQ56q-eXB3urpmtmgHLLw_8mXm6eRohzRoM9lgsO7MmvOOkiv-2T0T2BMRCr_TRQU2AIEPbbb43Y8c6al0fSCLUhAXol6CwCAmYON2IZvbS5KjMlCt2sMplAvVmKUCcRR1ihWsUc2Yk_d2xbisg1Ez7ZnQOAFTusA9Q4mtuP3Lxndu3K7WJKZOFghtXJNjCDWT8X1EPHORHhZEM4KTRoLVTenXNNh09iX9qm2cIBbjvGI1WsmhMYWgUiRfpRBf_dtFSI6b5cxgpBfTTC0Lk3ODRN7HO1iCcR8TLfhAgKXy24YKwD8G_gefppQeN5XkXxyX3kv0uCnvuU6BenvPFmVVuR89cz2O2ChlhdJtIcVR61rJSZSEogWX3pY%3D
Sanofi,"Principal Data Scientist, Bioinformatics and AI-driven Precision Medicine, all genders",$114K - $170K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&cs=1_aa4f7665&cb=1672430254369&jobListingId=1008371194374&cpc=A8EA696C92E7776B&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-4a3e8c59722ffbc9--6NYlbfkN0C0xan_tKoKpHlPk2i4OCCo2ULsOmeqWWaTHcPP_CkOCTejDv3cFrPeLvyi1Q2mKNV4kosqHGZhKvdk56ESLR4GMn-dFYEX63XjYuEx8sT5wQNo7QX5nVLEgt6r_2RW9LVMTLChn4jE-COibIjQ678iBUwKiFrR2OSbEJzF_sQh2XXTAqXKPgQ47ddgE4AxS1fE-Ar7YlHWbB4l5iixpCR2MCdAi8SVKcmcqjwOyTLplmhncozGheDssLzWfXwuxCDsarwXPN45LGyQe7EpgUfNUgQ2LCU9zQy7FR5ww9K96UVOzlQHeXioanI1wHcs6lzN7YO8hADqfzecr0khVi5VFcJ9m-C9Vzlf4bi-0QIA3RjXzR6H4cL_0ShSOHWGsv0yd_E0ISnKYJkSNWU7tNFa44bVFU10iiTk4MR2aGaH4Nevp_vqnl2QzWrvIJvaUTWF_-8wjbA9HjlcRWq8uP2Vfho48aYGXVRWvkcRM-2UTlEYv3uwZXGerjDf3xk6sfQ%3D
Capital One,"Manager, Machine Learning Engineering (People Leader) (Remote - Eligible)",,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&cs=1_75d622bb&cb=1672430254370&jobListingId=1008378287613&cpc=179A63ACDFA89555&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-f0396346f8acd451--6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27UEZOmZYCHQhsIBnGHuzt2HfGklpDEqlY0-2Hb-UCkqWJcSBQ5p7WgBBzzAMVXpuKqeegmIqN9OryeFy4LBZiXLjFLClYFDq15zMj39qFeitqVj_dz86OZR3ZUZ2dWNgdcYeiSLzyVtmOdTJjcG9AAIIi4pGWdZdqTTF95EEOVE7p00S5ZYFghOpZNt1E95r4NhxYG7-NuZvvcgckm46QQFG_t5ktgit8oW0s3iS2Kppd-ZcbRf-Cdg9dqylZHH0XJh7EDv0Bj7HQO76ekUA1zuZ8TAB3cqsgCKrTq1Kf-QNBa6rP_fUusPOtuQga8-CJQy9NCv575Gsrkw2dso4QIMaPGnIb7SQ1P8FBmUza7MXJQ45xaYi_iJ_p7tIKPgPBkscZa5a53qEPwaC_7ausQGPT7VT3tZlRHjIVbp4g-x06ZHTMfG0k82PLjw3XESsxM%3D
Fidelity TalentSource,Machine Learning Engineer,$94K - $136K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&cs=1_37f98dc5&cb=1672430254370&jobListingId=1008273904359&cpc=983919718F9DC6F6&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-8eeb8841170dbfdb--6NYlbfkN0AoYXfdOe7El6-Ykny_IbMrQLc_ftZ75MJybi-dJXWXjsCzoyCJRRBVlF9fO0cfHB9pSlYmgYnIcDY88qMAG15u8QNujNOU2nc9lR-USsu9eQzL9Up0cL7NvHIEDyYoahJElRagHREbX83U86VXnkaR4AO3NFATRnAVbddfYcvCSHxDoty89FWVqggSZBC2Ww_owhU5BjyxVfgs6Js1iph-xGvc1VhJNJbSOJl60DZrIF1QqK5FOl1wg27i5E_UY1Vu0nZWpdajni8JXicVjJlxrHBQf_GgYVxB782VRnuSrBwUymD1uUxV8uz1v1m61pBC7C6N82byYPOJI31wPaRTbHnK6fMLYNy39rG297ZT2YqHhWV8yyQJfl5kW6iwghqTTNO2UQj9NdaIi2PGc3lnc7RSmmfDaRR8LFb7SZqZMe0dZD0-1R2lor03hWDos84Xbw_Vsr4ry5EKfh7J3e7Tir65yBz81Rqym3zNeeyJOnYbjDD1r7ZyNPoEHUXcLjU979Z1BzkDT1L8XNnVFPHwNBO0ZUjmJUEtnFDWFCUtgiI5ufNp-IoNSrBC-eaLp6o%3D
Sanofi,Senior Data Scientist,$106K - $150K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&cs=1_cddd7c10&cb=1672430254370&jobListingId=1008371194402&cpc=59DF70BB7E75A6DF&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-7bd08fea33b41ab0--6NYlbfkN0C0xan_tKoKpHlPk2i4OCCo2ULsOmeqWWaTHcPP_CkOCTejDv3cFrPeLvyi1Q2mKNV4kosqHGZhKkCEK-WXSHFAM0KJpJlCuakri8Liups_nRW7NUXBC8lN3IUCrDxq8wFUT0wqsJWusLul0hRDVScD73Q-Sld0C2LJfQQ8pZB2NXknw7icBbgi4GO-AEDlg-14mutge_DYGbZqV53iqH2dzCZoJyBUiLKGPVar7oJGJtqt5phyRv1Q2HbOSzkZD-PqnjZbJpUXIz9u-Z45BfhD9cQ13umsgXyj8MhCZnzjDGaFTAHcx8qzSsV1KSSDvVj0JROzzCDT-LY2UMLKvZ1jd8l2aZYFL3pegdztWME58ZIpJMjtbVS9zg0UbJhKdDQvdht-HHhMonHXcQGUZqlA3REX1FGCz3h8cDL2QH4-YImwWz-Hos8eYaBo15W2lHskxg7_WyybHyG6A8zslRqI9yGE_Qx48c6ZI028MARBVYbtimfibEh4U_7pt7sqJdg%3D
Vertex Pharmaceuticals,"Senior Statistician II, Biostatistics (Hybrid)",$110K - $152K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000185649c77bfb81fa229b0ec1ed7&src=GD_JOB_AD&t=SR&vt=w&cs=1_611988dd&cb=1672430254370&jobListingId=1008262889906&cpc=4B4B39186BDA197B&jrtk=3-0-1gli9otv8irlv801-1gli9otvvjc9v800-aefc09b7b1e72a16--6NYlbfkN0DLSkztd4vtTiXJqeHSV6FQdAfV6v4UgVauYgd-fEjIK9vgcbQLiicNh0XO6ydT1ly_m7Rwf19DoKAyirEt90Idapv5DQ7uuD9ynwilssiBOAe-D6LaOVqkxFIgFCtApQxNXTXs8QzClyg-y6bPVsYxQJ27QzoJkGpZnw3BO6Ycb5Cm2U8CR1OjL54jfx3eIx1YqundFiAp2ASgapNtUBxBbcqnr5Y3opU3IZ3vs1FFHYbOFsGEM6DkJoc3GXsqFlD61_n1tvr8geAnq_pvQ9VH5xvHoqK_cM-c_HC7OYad3JdlxNPhR69rw3dCAapDw8oFWsXrZqeQtl4ab7NaGPJSLOCfMBaki4RsD7EACNZUfRF4PuPs0XxOeOESMUT0e9adtf-k8HFzGAw3Pfuda9-eGIxhmYaqWNp1zNEVPLWFgWCqgtU36rFnY92a4ytDnSqmNntpJaf7nZIVxDSXxUqq18gFbZVDussbT2I0kJCyunF8W-miKBHA5Q-nbzvDY1SQZElePHpB1GJI47jc7bqLFhbjKCm4fs_BmJ0a0sociXRO-Ts7otJgdXjGMdRE2fLZ-h0sljv4CfzCJ7Cn4h_Mle8fZZXie-TsRjQFUEM83s8e-YMibDgRdTk_1khuVUxwfhIE31JhxcIKVADjgQoc
