company,title,salary,joburl
Northrop Grumman,Staff Data Scientist,$177K - $266K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&cs=1_7c888229&cb=1672430546906&jobListingId=1008020685771&cpc=83EE714EB2563156&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-4660c30585e534e1--6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL-Sh9PGJR7MUsfmdgWk5rOVTVoNXOxEINu4FatqQ_XJfQdPm3H0Eoitfvfa0GizPawqXe4JtnppRtuzRlgeY1bZKggjVH87QfDrFWwVsaL8_FUHJj3x5HVFImEmOKc1cUUtMo36lxHPI9SKexhEhyRFegbumadPlbpxb9z-MM7L9Keppwy8rppo1H0SR6Z7GZDJonuW3JuuLdEuZbJHJpldRbJn9ql1RCnV-mGZyMgjiC10ZYgsnC-DV0Yf7_NUxZCSoKs00mpGcW9teKXAJUF5dNRCaUH0uFJhI2Iy0aMbYs3Ytz2_qA3Jug0iWHpmv1vnthnVo55BGrazAMkGIggdCOnct0MwK6VQOgkgUvAcT-sHo90Q5XTao-yy6_iz9p4J73E9lIKGGhMOxq3-FEzbeXtf9mpckkErm0zhFoghm81YyjFs3dbF5NJpQ4Az3Bqvd20Wchhs1gRoabrLedbAZ5zmuT_OMnFA6cqMHLOb5uOh2U5RTmjJHs5pHadUzkQHuzd8srKdLFKG8IhECqp826zyd1rN2be2H7ClAnSQ2H1kfa5l4ivDFJYFhGMlFTihFewrwtA28bBxLWJqBjm3QBkIJcNmt70YSGTUHCJdxj0LJFp7Zw8LzNBJ8S1oWAk0xjOWwCEmn0DAAZeHmoQVzO3afAy1OZBSz9CYwAnegfcFcfVTGQ_v0AAsSKpSBtMoUWP32c5Zx7hF5PVPsAYO0Ej5NeCktkYBISEcJYqsH2ixTd3AyGeAOBGkJzxD-PBpfQsYT-OaKrtnckA0M4I0eO7BrJ7q-0ZcgvMCtznBO6HM3eHyHb9D3dHgMfsQANyHfCgcZJNkHvOf543bfMQHSs4pOypTPgKxrUINC1KBJ9NYwHTDrL8ve78mPnpp9yjf4-VnWekVm0SYS0hvVJ50%3D
Northrop Grumman,Principal Data Scientist,$115K - $173K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&cs=1_997cb7f1&cb=1672430546906&jobListingId=1006804396548&cpc=F2E91DB1AE7076E1&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-12889782e8cde003--6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL-Sh9PGJR7MUsfmdgWk5rOXzXj9V2Gjty45go4likwI4O3MlbCLW4sUoG07pp6-HAvFYEImsXE4HEa0dyE5JEC5Jb1mvj5mzibZxLyjopHQIIF0orsWQnN0_OHdDXBd4iSVpHeTbZCRJ_mN4QuNPgAgWDPYap7Z2JrhAJCxgIhK_RmD3EaiCelfe-JndHhqAHySbT1EYw6N32ey3oOFi46zTEA9zJqP4J2CyTHJ58ofP7Ke9Ir58sF-EoWIN3cUGmEvbH5NtwPfijIgVJ6bt2cffNX5RSX8wwFjyV7UNyxJtPKN5rnerbP8zRyZ65Z1cPZ5n0mM4pT5AUKrhPpu0ohD4F3NfM2-80KtbTAIaxeu2fan_lT6FOp-oQiVv61sHMYCpWj1I-xkjsDAcsP0YcJUQe49RMwjawFO0eJFS8cX-2J5-VuMorWX0TLZQdC9IezmIiN_lWd3rENv5jxtvEbWir1c6ROicA_0svlz_qomKhQyT3d2PmMOjd8IshAo1AJxymhGo3lhaTeTaZHfAwrXlsOgzrt6wO024thV0BxmhV4cYxxQwtl08n390YrfmH28fuUC6dWhF1od58kpK5zMmRVUSjCtMLNZH9-VQxQtt7sjfm0tdbVBCar8bzuQOWNBAHq7Jhpl7d7iaw4PpLP2rX9zErgGH5p3NYgoq6MpHUxuQ0YPqSrX1af5gR1ittP_rPppVSylfe8bxkgVkH24iWNRYqIz7z352_Oc4f6pNa8qhLO0T8NbZyWyfGWe1mCmpepAZonAz3OSSwRY9EmbTx_oDTfMNX53i53aGWbfy0BsOlzc18N4hEAMYki8XqcCyZKD34iYQGdRIfIEFpvx7J_y9i_Wuby2YwevKDImezpjIRC4IorrKopIonpmqbuyjgsLdS3ruaxry9CQ6b0540IQfHmOFwg%3D%3D
Pictor Labs Inc,Deep Learning Data Engineer,$120K - $140K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a9caaef8&cb=1672430546907&jobListingId=1008331011663&cpc=7095061949A44974&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-eec3a5dc4734af93--6NYlbfkN0Ao1sXqsfl_eKMvAUCHN22fcucLWVoEbECIQPomdFbHyyronep0nbDU7A1dqb0fd6hb4YAUjh_nsCUuiP-XKL5jiPF72gILMta6o_i07jeCI4KIB3dFjQgU_CWXjRD4Pyba4I7Mrc7s8ZMqRiwhF9_tgViN_pxudFIUKmTOnA9fJbhV6urNGfh_DUsWv8hI6KZmH4S9Plp1FYEjpoLVQ2h80PwOX3vNaBap2E2MY1XTKBUV35s_vmQlvMd886sWmgqhc1uuJbN57FUFgUGGLQ9AAAj9gkY-kSQlefZSOU4qIao2N47IGV56VlDwCLzLYAs5sCODI4wqQASYGap9Rhuq0ImaruQ_SSBFNHNtLXgos_URDaScJjpCai-mz8j7CAubA8EveGiE4NL-5AdnQ6D6zohW0EYSUNU20YMdSYWLGais4ErM4bdGGbrbFcznYupxLsmUlSksp_H9CvT-TIoUJPw-vtICKV1vfJ4lo8_8cAZSi7NWUPqh3Xchj-wUJNsAczDG09nzSroQcLwSAK8C-wmvlK6W8sZw36eOEAbuc0F_rBLfujTFcN4qDy7ch_uZ9_eCLKD6E5xFfPVUfnOE
UCLA Health,Junior Health Analytics Data Scientist,$74K - $171K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&cs=1_72fe0a04&cb=1672430546907&jobListingId=1008289263610&cpc=155EB9D5185558AF&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-53bfde300305e5db--6NYlbfkN0DsE7ViekIsjp64t_8fXghHOV1s5s2e0k6cDP9wEyz_6tOierAtAOrZ9WCDC2rRvrOCPoK3AdCHPnYKi7nEMIrsVj9vIdaA6nSPtmNaOBnISFr1Kz86lF4FNwUTpYlc3-jqofBdTijYoP8jGlHD3RY3qLOjTOWvNbppI4jQNMxGHh-W-eCwpeJhTDfLEKKh10B15QO0tUaU7LS2ayRh7hifn8u6UBpDHqtuHeYS9TSMGXRk_apFyS2iEfkVqYySirg-qtO1FQKx4m6c0aS4VkzVuATO7Ok_nEgIcsYPwdJZqRIG8jHElgjNPwY7rDuSsIwkmAnMCpAVGjapXPWXPQmYGb5qaUTZ4AOHW4k3mU8XSZtrqJXehetOKeF1JR5SJStKI3gXxtllwX76V1qCWhRhGDY4qneivglhnLq4ud7_x8Gv8X8sm5508Qi1AkEjFweM7P6RsdA24Ldkk154AHBh0xP3mOS6yYHlnJHttWl-KdKuZUMjta516HAALwEttG11w7S54cNIqDqNgLO3P-d1bTK1RNN5LfzcOc3mGZbQSe0CYZLSbl5Icf2kQ6JV1C6ORHBz-CEBmzBGzCjmDjC3hH7EigPv28CexDsP1pAiDDCmOnRbskKVT4-cbpsJ_w0z7QEJ3AuWu4xfl0r6w-JwTbtw4Sw22GUe465F4ON3nSj_cN6IOd1x5SknIajla6Jvz30gKNm9ydHuskEFeojdfHgTxZAw9vxaSfFpjbqrs_wX2XcOJ7m1uH0WXfUxw577d0L3ClXdRCgMImV22sVx-xOKOj0S3cjEYCBAIL9rhTkvd5sxVKtjPYJ-IWFAZuU%3D
UCLA Health,Statistician,$26.63 - $52.97 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&cs=1_14d55f87&cb=1672430546907&jobListingId=1008289262076&cpc=F5E96E35A1725171&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-fb95fed425cd8c07--6NYlbfkN0DsE7ViekIsjp64t_8fXghHOV1s5s2e0k6cDP9wEyz_6tOierAtAOrZ9WCDC2rRvrOCPoK3AdCHPp_4bsPhRy9LzL-k2nhQ2Mesh_MF8SEuXFHhN7RW4O8cFqtEorMszA_-TutvMmE-NUCXZLYcl9TFFGGAVWtqCKXgHvbOucIeZirpclJGKO6iMp-bR886L8mkpol_bYmeDGqdDqnIMxiBgg_CFhU5BlNp8s83FZ-YqTxL1d44GSSHJuaPGjK8uKVYlrVLZQ2ac6B9JzP8YaebFZmk6aj7DnRH1H1FWpT0rmBkm0JdGjgO-QTwT4DrDUyx2CWHNt7f5Lvi8NfZrYYBOxrhJJUAaX8UXK1tG8sBOiRqbQ1KFMj_2_YvLqLp6QBDDEGzKiz0uQ7SRlUd1cK-CDGlX6I24jC4KK882ZPNYxVlexuyx2W8WW6k0jBfBlnGz7OtXgDeOPPyRDURiFqKpzsoZBe61HHtkB-EK0RY4hox3GqSbvWLvQsyA4BfkZbSmSXdaVxqFGF4qaapWnRmlW8M-p5UjnHZtHiarHIryArji6MTfwGDOrMX_8UrRykT7mT5zM0_hXaVmXgs8Jq0_c0MZwP0fz_ZEFSS7uJ6spbtUrymbN0EbLt9F7EuFbukk7DeLMROKXgKCae3GH6NMaNErSxCg7MJFZ-YkhBhA8u1UZTEWbrvwR-JZBlDx1cjTHsgwakv3rcQ34kYx-uC_aw2pyoaEohPg1B0Gq-W8tscfjvNa0Lmy6yinpgZ0H0%3D
Niagara Bottling,Manager of Manufacturing Analytics/ Data Science (Remote),$79K - $112K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3e4356ae&cb=1672430546907&jobListingId=1007899005161&cpc=AF770993EC679D41&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-c1968e8934270521--6NYlbfkN0CGwvORZtB0iUZnKgnimT2ysYn8pGLVSWj19V1u5wFJXd5YEP4yEXDYVNXqYVpWy2v4_QdclXqbUgiRS1BUZv-5xMkkc2EokLV1ZHy9c7oq9I3y6JUCssLrtAaBfMgh_JCmg1cJ5nFuepIJ4DjEhfSo4ufJh0KqxaSza5_NjXeb1yM13It2x3DKF-KmgvJXpeI5LYXJYak6bhd1lG3C12vx4vAZhvNabO-Ewv5FBjvIjRZVKka2MPKL5a7IoZ6C0eEfriJejz8bpp-4mBgeDqVqcWimKUlpqGC39e1gUbeaEzFfqVtP3CDIN9g2v1lEGRUWO0cyuL7sfjjEOPYwAUiHAmCthADTgCTtVPud_unJDNt00mV87rGF4DpCytUlgKzpm4vo9tT9uERkfoC2iPLEP1TOD2iojp2msXrsD36C3XJCxxCBF_AHUkgfS21tzQqFcWPxAsjefT_JZ9E_KQ5an_ssK7wrqcJ1QDwtQ8qE4v-b8DTvzsI1LUPrnEp3gjY22-HJI6qbUGYnhyrLq8igG-LmdqkhWFzPc3ljaCHQOFNPRRZpanx-HPyudka0yCLU5Pd8ocSoga4cHAIdKahER1yhOWjTA6S1VdT9eeRZawZhQjMVDeynx5exiTFEe6VHGcCh3pmSyUc7X0uMsPloGF-YwcBAN_uFFHD2BqHxJ1ybaefJkBDwD5bBkv6uRz8mMRTSNfVNVUPhmuCAV2SAlLEtLw5M6mHALAtpriZg-Q%3D%3D
"Healthcare Staffing Professionals, Inc.",Data Architect- ACDC Epi & Data Unit - Data Science Team- $59.27/hr,$59.27 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b30af192&cb=1672430546907&jobListingId=1008339704449&cpc=3DB599BF2F4828F0&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-f7c4bcf745a1b9df--6NYlbfkN0CBC3QPWf62_ZujIdn61V3p_wwz_uNSPeOtTLODVN0YE_aOClqFPI7bYPIiovz7HvVS0FAYspjonH_g-e2kdZMOkjCMVcgE6wNipPue-gNMxT8QdnjvytlhRlXtX7GR5To57gphfV3yIxV7p4qlX_A-JnTa-WVguMwlkJTKAHvjvPVzZXzWgVjbcTfCa2AtxX1PrsTPDYBpbS5qRqfNGJZMYVbb2OpH-A8dRx-qONU4ksRXCGGjAyWeSzifH47nUKUTIPuTiQFcL9TYLyBQdsk6eCJBRvzfGXeJajshrsnlwvx04cWOowbNR_jf5-TgJFLPjgDZJKVyj-1ScJHxO3pBU-nnEsXmuqV6AXQvADvY2VG2hSt8oR6ZqUhxcQHB2LeE_cAIHWHbiY1TPaL_Gi2sMwszrkRP8LckrfGyFK31wE4EmqGONF07Ad9R9ZbI2Yz2YGbmp7ZwehupKz-zlru57cfasujFffz07-y6Pnq6saXMSA9MV-GOwYgcz_tavUp3KVYUMlgR6lAAdwfJr2QIoGojLwoPaO8ghCqQv53xx3mL_05PMa1GcLDX_whvr_3NEdoVu6ErizLbJ7NzmC5Go5HACH7XG8MlEjil11NjjfZSc5UC-SMMJ_wGNfLjT44%3D
CyberCoders,Data Scientist,$100K - $150K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a1027478&cb=1672430546908&jobListingId=1008369131016&cpc=334ABAF5D42DC775&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-d19cda612d950d63--6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eoBlI4EFrmor2FYZMP3muM3bApotpwl8jEQtn6uAw-We27OHeqwVLSgLOntKI8pBXoXpdNnB2G9OPS9zt6nq891vX5tl37QDqAgWlp3uVxgZQTPDiCdDk9P0tt-bkYCgenD5V7PNzv2TwlCDtV3rkKCoY1NaUSZ8Zx_0ZDjkGU5DUibutvHwEtNyANQ6beeIb0wkBHanD0kAo7jhr7n9_Mzp-_1UCAB7_wLQEo2YMlDAbLKQFgi1toii2d5VpOwYdi3BgzMSN05rB75Zm7nIQu54WPNTnPRNcedHK2uK7prrGmTUbOjG_Nhu68U0GppoJPXQ0b3uZy1T5HIohd_5VPjvx7TjG0dMtoVe-jgiDt6GZ3P70EhvwJSg7lKUAtqdKvzXN1ynjFy2Hx5xgMaczoJmHUpFiaETUqzcqtjVARpFduBAyRIxZLFrQSRY_Vf44JoApF1OAYlIIaT1wKrh9n-ksU2w7Stu43Lg-VvHsx7H22dX-A5pRyViQujB_ycEr5RsNKE0o9vo7CrO3qR0wUMEu0MTSQ0ck8WpKtK-nzwsQKojP4fuoEXkMsEwdq6sGNz2QgObs0X6S_5xUTsncu6Z9zdIhMj4q7VpfBptbnGMf0aBZjwkbESw04NWZbW79uU9mlD8sMjXoPh6lgv1c343DkYm_OVQCf-8jLMoPhRmMp1Dca1UBQvfTY9l8nBm-8c3nr9BHtnkdHN4CtH9ixVpYHo-1INQTEqYYJkGmEytbt-pT9CREPl3u6J2aZxlSadXqumKANsOIq9CdfJYy4BdqFsUb2v845MYP8sDDC4AViz9TNnkWBFs5cM8SVqOn3Nsmj0HdwxiwUJvhG9mSF9iQmLdcMMpBPKbXpNSCbmY3ufktFvhy-303bvqaHH3bRn3FW44-ccf0nIzYo81aiAkbIEteMZ8eUxOwhOJS3pDkJf6wtunrNuyvhSHKWYSr6REEHi2UUX6r0Ozvn1OiDVNzhz-qSUKWczOVNpeLbzlP7YCnHp1E-psfFOQve3YJgiIRO3y7heAp8hN5TihIDsqsklgFlVOHJTyxZMxkN6e0MTS8MTTKRo%3D
"BEN Group, Inc",Data Analyst,$55K - $83K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3df8011a&cb=1672430546907&jobListingId=1008217177177&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-cbc7bfe0aa1695bc-
Acara Solutions,Sr. Business Data Analyst,$36.00 - $46.00 Per Hour(Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018564a0ee8cad1291bf7420b56c&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5f8bfb95&cb=1672430546908&jobListingId=1008364862973&cpc=32EE424DE2B657EB&jrtk=3-0-1glia1rlnkblk801-1glia1rmdj44t800-3a6607a0d3f5ec82--6NYlbfkN0BQuJXpfawXtfhwzLerQhC04iCxGrelUvn_xttDeop7CMmG32gURwRxm542mwoFEh5VXQgziYzx9X7uDM5yqlpEFdSw-M7unNkI4_REZ2Lh53zLg234VA0n-JUxuY1ARvUnOQwx9MwC7t7lmXtYTM1zRScdwWju95wzgFC12Bn-J1EpKv7plcR6TsCWbK8aJagr7hMKUZ0pD3fPKWiyKVVxCcFRkrF7xHcM_oQveZtcZ9upRpoRQ1ux_uIsonfaPTcpuRD2KOdpjWIhxdc-OaS00U-MeYzAq_YoYOhnJ1_ZBz78smBw13eskCCMjBZGlFX9KIQTBLj3LXiJ6GnuORDQAeqzxKqdl7lFkPUMWtHj_hccF3kJp0-J_J76SB2YzL8eYqMu2BVxfAyDtmLiO_2GCHYMRwMJtDmiRfgm0Xqv-FV5iPnYwaPhDbvOwxPVIpe5iwDOTLhy3jna0vndUqxRkDG6-XQP1sL_x8CJYUP1dWH8ydBzs41splFlvuX3DEggJQPm21QPyu_G44ndGfFGfdRaWJZfkp3xAM87GXzVy9w_JhXHSiBuce4jVl4UrBrZMsFi-CqPRE9lzJdfo-hvnv1rZUR2lY45WGlc9mUFeM4c4ps8HMKNtvW7xrumnz9oH3D8dYh7JmKT57x4uZfsh9r1j2Spndulrf2rYhw6kEXXA_wJmnNAnootTDbhd152lT3IPed8QJsnJ4OEsYFLukJWTmufgjt4OhgpkGmPUHOJo9l29ZivUvvxgsyCn1lVg3JUSzKpuHWazZB3uroCiYCnI-kPMaY%3D
